"Esperanto","IPA","Novial"
"A, a","[[[open front unrounded vowel|a]]]","A, a"
"B, b","[[[voiced bilabial stop|b]]]","B, b"
"C, c","[[[Voiceless alveolar sibilant affricate|ts]]]","Ts, ts; S, s"
"Ĉ, ĉ","[[[voiceless palato-alveolar affricate|tʃ]]]","Ch, ch; Sh, sh"
"D, d","[[[voiced alveolar stop|d]]]","D, d"
"E, e","[[[close-mid front unrounded vowel|e]]] or [[[open-mid front unrounded vowel|ɛ]]]","E, e"
"F, f","[[[voiceless labiodental fricative|f]]]","F, f"
"G, g","[[[voiced velar stop|ɡ]]]","G, g"
"Ĝ, ĝ","[[[voiced palato-alveolar affricate|dʒ]]]","J, j"
"H, h","[[[voiceless glottal fricative|h]]]","H, h"
"Ĥ, ĥ","[[[voiceless velar fricative|x]]]","K, k"
"I, i","[[[close front unrounded vowel|i]]]","I, i"
"J, j","[[[palatal approximant|j]]]","Y, y"
"Ĵ, ĵ","[[[voiced palato-alveolar sibilant|ʒ]]]","J, j"
"K, k","[[[voiceless velar stop|k]]]","K, k"
"L, l","[[[alveolar lateral approximant|l]]]","L, l"
"M, m","[[[bilabial nasal|m]]]","M, m"
"N, n","[[[alveolar nasal|n]]]","N, n"
"O, o","[[[close-mid back rounded vowel|o]]] or [[[open-mid back rounded vowel|ɔ]]]","O, o"
"P, p","[[[voiceless bilabial stop|p]]]","P, p"
"Kv kv","[kv]","Qu, qu"
"R, r","[[[alveolar trill|r]]]","R, r"
"S, s","[[[voiceless alveolar fricative#Voiceless alveolar sibilant|s]]]","S, s; Z, z"
"Ŝ, ŝ","[[[voiceless palato-alveolar sibilant|ʃ]]]","Sh, sh; Ch, ch"
"T, t","[[[voiceless alveolar stop|t]]]","T, t"
"U, u","[[[close back rounded vowel|u]]]","U, u"
"Ŭ, ŭ","[u̯]","U, u (after a vowel)"
"V, v","[[[voiced labiodental fricative|v]]]","V, v; W, w"
"Ks, ks; kz","[ks], [ɡz]","X, x"
"Z, z","[[[voiced alveolar fricative#Voiced alveolar sibilant|z]]]","Z, z; S, s"
