"Application","Latest release date  
and version","Developed by","Platforms","Mainly Used For","License"
"3ds Max","""2015""","Autodesk","Microsoft Windows","Modeling, Animation (Video Games), Lighting, Rendering","Proprietary"
"AC3D","2014-03-03 
v 7.2.17","Inivis","Linux, Mac OS X, Microsoft Windows","Modeling","Proprietary"
"AOI","2013-09-23 
 v 3.0","Peter Eastman","Java Virtual Machine supported platforms","Animation, Lighting, Modelling, Rendering","GNU GPLv2"
"Blender","2015-03-31
v 2.74","Blender Foundation","Microsoft Windows, Mac OS X, Linux, BSD, Solaris, AmigaOS 4, MorphOS","Animation, Lighting, Modeling, Rendering, Video Game Creation, Visual 3D Effects, Sculpting, Basic Post-Production Video Editing","GNU GPLv2+ / Apache 2.0"
"Bryce","2010-12-23 
7.1.0.109","DAZ 3D","Microsoft Windows, Mac OS X","Animation, Landscape Modeling, Fractal Geometry","Proprietary"
"Carrara","2010-04-21 
8.0","DAZ 3D","Microsoft Windows, Mac OS X","Animation, Modeling","Proprietary"
"Cheetah 3D","2013-12-30
v 6.3","Dr. Martin Wengenmayer","Mac OS X","Animation, Modeling","Proprietary"
"Cinema 4D","R16","MAXON","Mac OS X, Microsoft Windows, Amiga OS","Animation, Lighting, Modeling, Visual 3D Effects, Rendering, Simulation","Proprietary"
"CityEngine","v 2013","Procedural","Mac OS X, Microsoft Windows, Linux","Procedural Modeling of 3D Cities","Proprietary"
"Clara.io","2013-07-09","Exocortex","Mozilla FireFox, Google Chrome, Microsoft Internet Explorer","Modeling, Animation, Rendering","Proprietary"
"Cobalt","2009-12-11
v8 SP2r3","Ashlar-Vellum","Mac OS X, Microsoft Windows","Modeling, Computer Aided Design, Animation","Proprietary"
"Electric Image Animation System","2009-05 
v8.0.","EIAS3D","Mac OS X, Microsoft Windows","Animation, Lighting, Rendering, Film, Television, Visual 3D Effects","Proprietary"
"form-Z / form-Z Renderzone Plus","2013-10-11 
7.3","autodessys, Inc.","Mac OS X, Microsoft Windows","Animation, Modeling, Lighting, Render, Fabrication, Set Design","Proprietary"
"Hexagon","2008-05-20 
2.5","DAZ 3D","Microsoft Windows, Mac OS X","Subdivision Modeling, UV Mapping","Proprietary"
"Houdini","2015-01-15 
v 14","Side Effects Software","Microsoft Windows, Mac OS X, Linux","Animation, Lighting, Modeling, Visual 3D Effects","Proprietary"
"IClone","2014 
v 6.0","Reallusion","Microsoft Windows","Animation, Film and Television Previz, Videogame Asset Creation, Lighting, Visual 3D Effects","Proprietary"
"LightWave 3D","2014 
v 11.6.2","NewTek","Mac OS X, Microsoft Windows, Amiga OS","Modeling, Animation, Lighting, Rendering, Film and Television Previz, Videogame Asset Creation","Proprietary"
"MASSIVE","? 
v 3.5","Massive Software","Microsoft Windows, Linux","Artificial Intelligence in Models","Proprietary"
"Maya","2014 
""2015""","Autodesk","Microsoft Windows, Mac OS X, Linux","Modeling, Animation (Video), Lighting, Rendering, Visual 3D Effects","Proprietary"
"Metasequoia","2011-05
2.4.13 (Metasequoia), R2.4a (MetasequoiaLE)","O. Mizno","Microsoft Windows","Modeling","Proprietary"
"MODO","2014-04-24
v 801","The Foundry","Mac OS X, Microsoft Windows, Linux","Modeling, Animation, Rendering","Proprietary"
"Mudbox","v 2015","Autodesk","Mac OS X, Microsoft Windows, Linux","Lighting, Sculpting (the deformation of the model)","Proprietary"
"POV-Ray","2004-10-03 
v 3.6","The POV-Team","Mac OS X, Microsoft Windows, Linux, AmigaOS","Lighting, Visual 3D effects","GNU AGPLv3"
"Pro/Engineer",":Template:September 2009 
2009 Wildfire 5.0","Parametric Technology Corporation","Microsoft Windows, HP-UX, Unix","Modeling","Proprietary"
"Remo 3D","v 2.4","Remograph","Microsoft Windows, Linux","Modeling, Virtual Reality, Real-time modeling, Video Game Creation, Computer Aided Design","Proprietary"
"Rhinoceros 3D","v 5","McNeel","Microsoft Windows, Mac OS X in beta","Modeling, Computer Aided Design","Proprietary"
"Sculptris","2011-07-22 
v Alpha 6","Pixologic","Mac OS X, Microsoft Windows","Sculpting, Texturing","Proprietary"
"Shade 3D","2014 
v 14.1.2","Shade3D","Mac OS X, Microsoft Windows","Modeling, Rendering, Animation","Proprietary"
"Silo","2008-08-13 
v 2.1","Nevercenter","Mac OS X, Microsoft Windows","Modeling","Proprietary"
"SketchUp / SketchUp Pro","2015-02-5 
v 15.3.331 (Win64) 
v 15.3.330 (Win32) 
v 15.3.329 (Mac)","Trimble Navigation","Mac OS X, Microsoft Windows","Computer Aided Design","Proprietary"
"Softimage","""2015"" (Final Release)","Autodesk","Microsoft Windows, Linux","Modeling, Animation, Video Game Creation, Lighting, Rendering, Visual 3d Effects","Proprietary"
"Solid Edge","2014-08-08 
ST7","Siemens PLM Software","Microsoft Windows","Computer Aided Design","Proprietary"
