"Name","Windows","Mac OS X","Linux","Unix","BSD","Other"
"3ds Max","Yes","No","No","No","No","No"
"AC3D","Yes","Yes","Yes","No","No","No"
"Art of Illusion","Yes","Yes","Yes","Yes","No","No"
"Blender","Yes","Yes","Yes","Yes","Yes","Solaris, AmigaOS 4, MorphOS"
"Carrara","Yes","Yes","No","No","No","No"
"Cheetah 3D","No","Yes","No","No","No","No"
"Cinema 4D","Yes","Yes","No","No","No","Amiga OS"
"Clara.io","Yes","Yes","Yes","Yes","Yes","Chrome OS, Android"
"Electric Image Animation System","Yes","Yes","No","No","No","No"
"form-Z","Yes","Yes","No","No","No","No"
"Houdini","Yes","Yes","Yes","No","No","No"
"IClone","Yes","No","No","No","No","No"
"LightWave 3D","Yes","Yes","No","No","No","AmigaOS"
"MakeHuman","Yes","Yes","Yes","No","No","No"
"Massive","Yes","No","Yes","No","No","No"
"Maya","Yes","Yes","Yes","No","No","No"
"Metasequoia","Yes","No","No","No","No","No"
"Modo","Yes","Yes","Yes","No","No","No"
"POV-Ray","Yes","Yes","Yes","No","No","Amiga OS, Atari TOS"
"Remo 3D","Yes","No","Yes","No","No","No"
"Shade","Yes","Yes","No","No","No","No"
"Silo","Yes","Yes","Yes","No","No","No"
"SketchUp","Yes","Yes","No","No","No","No"
"SketchUp Pro","Yes","Yes","No","No","No","No"
"Softimage","Yes","No","Yes","No","No","No"
"Solid Edge","Yes","No","No","No","No","No"
"solidThinking","Yes","Yes","No","No","No","No"
"solidWorks","Yes","No","No","No","No","No"
"SpaceClaim","Yes","No","No","No","No","No"
"Swift 3D","Yes","Yes","No","No","No","No"
"TopSolid","Yes","No","No","No","No","No"
"trueSpace","Yes","No","No","No","No","Amiga OS"
"Verto Studio 3D","No","Yes","No","No","No","iOS"
"E-on Vue","Yes","Yes","No","No","No","No"
"Wings 3D","Yes","Yes","Yes","No","No","No"
"ZBrush","Yes","Yes","No","No","No","No"
