"Other software","GUI","CLI","Other","Programming language","Based on"
"ADCCore","No","No","No","C#","CoreDC"
"DCBouncer","No","Yes","No","C++",""
"DC-Hublink","Yes","No","No","Visual Basic",""
"DCWatch","No","Yes","No","Java, Lua","Embla"
"Embla","No","No","No","Java",""
"FlowLib","No","No","No","C#",""
"NetChatLink","Yes","No","No","Object Pascal (Delphi)",""
"Announcer Bot","No","No","No","Lua",""
"Certmanager","Yes","No","No","wxLua",""
"ADC hub","GUI","CLI","Other","Programming language","Based on"
