"Other software","Software type","FOSS","Software license","Active"
"ADCCore","General library","Yes","GNU GPL","Yes"
"DCBouncer","Relay","Yes","GNU GPL","Yes"
"DC-Hublink","Hub linker","Yes","GNU GPL","No"
"DCWatch","Hub operator helper","Yes","GNU GPL","No"
"Embla","General library","Yes","GNU GPL","?"
"FlowLib","General library","Yes","GNU GPL","Yes"
"NetChatLink","Hub linker","Yes","GNU GPL","Yes"
"Announcer Bot","Announce new Releases","Yes","GNU GPLv2","Yes"
"Certmanager","Manage SSL Certificates","Yes","GNU GPLv2","Yes"
"SerieBot","SerieBot","Yes","GNU GPL","Yes"
"Other software","Software type","FOSS","Software license","Active"
