"Products","Age range","British English","British English","British English","American English","American English"
"Products","Age range","Name","Alternative/Old name","Syllabus","Name","Alternative name"
"P1","1–4","Preschool (optional)","Preschool (optional)","Preschool (optional)"," "," "
"P2","1–4","Nursery","Playgroup","Foundation Stage 1","Day care","Preschool / Nursery school"
"P3","3–5","Primary school","Primary school","Primary school"," "," "
"P4","3–5","Reception","Infants reception","Foundation Stage 2","Pre-kindergarten","Pre-K"
"P5","5–6","Year 1","Infants year 1","Key Stage 1","Kindergarten",""
"P6","5–6","Year 1","Infants year 1","Key Stage 1","Elementary school","Elementary school"
"P7","6–7","Year 2","Infants year 2","Key Stage 1","1st grade"," "
"P8","7–8","Year 3","First year Junior","Key Stage 2","2nd grade"," "
"P9","8–9","Year 4","Second year Junior","Key Stage 2","3rd grade"," "
"P10","9–10","Year 5","Third year Junior","Key Stage 2","4th grade"," "
"P11","10–11","Year 6","Fourth year Junior","Key Stage 2","5th grade"," "
"P12","11–12","Secondary school / High School","Secondary school / High School","Secondary school / High School","Middle school","Junior high school"
"P13","11–12","Year 7","First form","Key Stage 3","6th grade"," "
"P14","12–13","Year 8","Second form","Key Stage 3","7th grade"," "
"P15","13–14","Year 9","Third form","Key Stage 3","8th grade"," "
"P16","14–15","Year 10","Fourth form","Key Stage 4, GCSE","High school","High school"
"P17","14–15","Year 10","Fourth form","Key Stage 4, GCSE","9th grade","Freshman year"
"P18","15–16","Year 11","Fifth form","Key Stage 4, GCSE","10th grade","Sophomore year"
"P19","16–17","Sixth form / FE College","Sixth form / FE College","Sixth form / FE College","11th grade","Junior year"
"P20","16–17","Year 12","Lower sixth (AS)","Key Stage 5, A level","11th grade","Junior year"
"P21","17–18","Year 13","Upper sixth (A2)","Key Stage 5, A level","12th grade","Senior year"
