"Product","Highlight","Annotate","Metadata edit","Dictionary online","Dictionary offline","Wikipedia lookup","Translate","Share","Gesture command","TTS Support (read aloud)","Support DRM"
"Aldiko Book Reader","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes"
"AlReader","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"Cool Reader","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"EBookDroid","?","?","?","?","?","?","?","?","?","?","?"
"Ebook Reader","Yes","Yes","No","No","No","No","No","Yes","Yes","No","Yes"
"FBReader","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No"
"iReader","?","?","?","?","?","?","?","?","?","?","?"
"Kindle","Yes","Yes","?","Yes","Yes","?","?","?","?","?","?"
"Kobo Books","Yes","Yes","?","Yes","Yes","Yes","No","Yes","?","?","?"
"Lektz eBook Reader","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes"
"Mantano Ebook Reader","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Moon+ reader","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"PocketBook","Yes","Yes","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes"
"Snapplify","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes"
"Socio eReader","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"","","","","","","","","","","",""
