"BitTorrent client","Cache","Web seeding","Broad-catching (RSS)","Prioritization","Selective downloads","Sequential downloading","SOCKS","Tracker exchange","Remote control via web","Search engine","Auto updates","Reviews and Comments","Notes"
"ABC","No","Yes","No","Yes","No","No","No","No","Yes","Separate download","No","No",""
"Acquisition","No","No","No","No","No","No","No","No","No","No","No","No","3 torrents max, infinity when registered"
"BitComet","Yes","Yes","Beta","Yes","Yes","Yes","Yes","No","Yes","Built-in Web browser","Yes","No","Portable version available"
"BitLet","No","No","No","No","No","No","No","No","No","No","Yes","No",""
"BitLord","Yes","No","Yes","Yes","Yes","No","Yes","No","No","Built-in Web browser","Yes","No",""
"BitTornado","Yes","Yes","No","Yes","Yes","No","No","No","No","No","via PMS","No",""
"BitTorrent 5, Mainline","No","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No",""
"BitTorrent 6","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"BitTyrant","Yes","Yes","Plugin","Yes","Yes","No","Yes","No","Plugin","3rd party plugins","Yes","No","Upload priority optimized according to a series of research papers"
"Blog Torrent","No","No","No","No","No","No","No","No","No","No","No","No",""
"Deluge","Yes","No","Plugin","Yes","Yes","No","Yes","No","Yes","No","via PMS","No",""
"FlashGet","No","No","No","No","No","No","No","No","No","No","No","No","FlashGet (standalone application) is not FlashGot (Firefox Addon)"
"Free Download Manager","No","No","No","Yes","Yes","No","No","No","Yes","No","Optional","No",""
"KTorrent","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Built-in Web browser","via PMS","No",""
"LimeWire","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No",""
"Meerkat Bittorrent Client","Yes","No","No","No","No","No","No","No","No","No","No","No",""
"MLDonkey","Yes","No","3rd party bash script","Yes","No","No","No","No","Yes","Built-in Web browser","via PMS","No",""
"µTorrent","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",""
"OneSwarm","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","No","has all BitTyrant features"
"Opera 12","No","No","Yes","No","No","No","No","No","No","built-into Web browser","Windows and Mac OS X only; via PMS on Linux","No","Web browser"
"qBittorrent","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","via PMS","No",""
"rTorrent","Partial","No","3rd party utility","Yes","Yes","No","No","No","Yes","No","via PMS","No","No built-in disk cache but a delayed sync"
"Shareaza","Yes","Yes","No","Yes","Yes","in mod client","No","Yes","Yes","Yes","Yes","No",""
"SymTorrent","No","No","No","No","No","No","No","No","No","No","No","No","BitTorrent client for cell phones"
"Tixati","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","lightweight client, Portable version available"
"Tomato Torrent","No","No","No","No","No","No","No","No","No","No","No","No","supports AppleScript"
"Tonido Torrent","No","No","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"TorrentFlux","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No",""
"Transmission","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","Yes","No",""
"Tribler","Yes","Yes","Yes","Yes","Yes","No","No","No","Partial","Yes","Yes","No","Fully distributed keyword search; integrated anti-spam measures"
"Vuze (formerly Azureus)","Yes","Yes","Yes","Yes","Yes","in paid version","Yes","No","Plugin","Yes","Yes","Yes",""
"Xunlei","","","","","","In v0.1.0.0","","","","","","No",""
"BitTorrent client","Cache","Web seeding","Broad-catching (RSS)","Prioritization","Selective downloads","Sequential downloading","SOCKS","Tracker exchange","Remote control via web","Search engine","Auto updates","Reviews and Comments","Notes"
