"Server","Authoritative","Recursive","Recursion ACL","Slave mode","Caching","DNSSEC","TSIG","IPv6","Wildcard","Free Software","Interface","split horizon"
"BIND","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes (since 9.x)","Yes (since 4.x)","Yes","Web, command line","Yes"
"PowerDNS","Yes","Yes","Yes","Yes","Yes","Yes (since 3.0)","Yes (since 3.0)","Yes","Yes","Yes","Web, command line","Yes"
"djbdns","Yes","Yes","Yes","Yes","Yes","Partial","No","Partial via generic records.","Partial","Yes","command line and web (VegaDNS & NicTool)","Yes"
"dbndns","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Partial","Yes","command line and web","Yes"
"pdnsd","Partial","Yes","Partial","Partial","Yes","No","Partial","Yes","Yes","Yes","command line, pdnsd-ctl program","Partial"
"MaraDNS","Yes","Yes","Yes","Partial","Yes","No","No","Partial","Yes","Yes","command line","No"
"Posadis","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","command line, API","No"
"Unbound","Partial","Yes","Yes","N/A","Yes","Yes","No","Yes","N/A","Yes","command line, API","No"
"Dnsmasq","Partial","No","No","No","Yes","Yes (since 2.69)","No","Yes","Yes","Yes","command line","Partial"
"NSD","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","command line","No"
"Knot DNS","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","command line","No"
"dnrd","No","Yes","No","No","Yes","No","No","?","?","Yes","command line","No"
"gdnsd","Yes","No","No","No","No","No","No","Yes","Yes","Yes","command line","Yes"
"YADIFA","Yes","No","N/A","Yes","N/A","Yes","Yes","Yes","Yes","Yes","command line","No"
"yaku-ns","Yes","?","?","Yes","?","No","No","No","Yes","Yes","command line","?"
"Microsoft DNS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","GUI, command line, API, WMI, RPC","Yes"
"Simple DNS Plus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","GUI, Web, command line","Yes"
"Nominum ANS","Yes","No","N/A","Yes","No","Yes","Yes","Yes","Yes","No","command line, api, SOAP Interface, SNMP","Yes"
"Nominum Vantio","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","command line, api, SOAP Interface, SNMP","Yes"
"DNS Blast","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","CLI, SOAP, REST, SNMP, DNSTAP","Yes"
"","","","","","","","","","","","",""
