"Server","BSD","Solaris","Linux","Mac OS X","Windows"
"BIND","Yes","Yes","Yes","Yes","Yes"
"Microsoft DNS","No","No","No","No","Included"
"djbdns","Yes","Yes","Yes","Yes","No"
"Dnsmasq","Yes","Yes","Yes","Yes","No"
"Simple DNS Plus","No","No","No","No","Yes"
"NSD","Yes","Yes","Yes","Yes","No"
"Knot DNS","Yes","No","Yes","Yes","No"
"PowerDNS","Yes","Yes","Yes","Beta","No"
"MaraDNS","Yes","Yes","Yes","Yes","Partial"
"pdnsd","Yes","Partial","Yes","Yes","No"
"Nominum ANS","Yes","Yes","Yes","No","No"
"Nominum Vantio","Yes","Yes","Yes","No","No"
"Posadis","Yes","Yes","Yes","Yes","Yes"
"Unbound","Yes","Yes","Yes","Yes","Yes"
"Cisco Network Registrar","No","Yes","Yes","No","Yes"
"dnrd","Yes","No","Yes","No","No"
"gdnsd","Yes","Yes","Yes","Yes","No"
"YADIFA","Yes","Yes","Yes","Yes","No"
"yaku-ns","Yes","Yes","Yes","Yes","No"
"DNS Blast","Yes","No","No","No","No"
