"Client","Creator","First public release date","Latest stable version","Software license","Copy files over 2 GB",""
"ALFTP","ESTsoft","2000","5.31 February 1, 2012; 3 years ago","Proprietary","?",""
"BitKinex FTP","Barad-Dur, LLC.","2003","3.2.3 November 7, 2010; 4 years ago","Proprietary","?",""
"Captain FTP","Xnet","2001","6.5","Proprietary","?",""
"ExpanDrive (Mac)","ExpanDrive, Inc","2008","4.3.1 (February 25, 2015; 3 months ago)","Proprietary","Yes",""
"ExpanDrive (Windows) (formerly SftpDrive)","ExpanDrive, Inc","2005","4.3.1 (February 25, 2015; 3 months ago)","Proprietary","Yes",""
"Flow","Five Details","2008","1.6.5","Proprietary","Yes",""
"FTP Client","Hankinsoft Development, Inc","2011","1.10","Proprietary","Yes",""
"FTP Commander","Internetsoft Corporation","1997","9.21  November 8, 2010; 4 years ago","Proprietary","Yes",""
"FTP Explorer","FTPx Corp.","October, 1996","1.0.1.53","Proprietary","?",""
"GoAnywhere Director","Linoma Software","2002","4.5.1","Proprietary","Yes",""
"Interarchy","Nolobe Software Pty Ltd","1993 (as Anarchie)","10.0.2 August 18, 2010; 4 years ago","Proprietary","Yes",""
"rwBackup","Stack-Its","2014","1.0 April 16, 2014; 13 months ago","Proprietary","Yes",""
"SecureFX","VanDyke Software","1998","7.0 July 3, 2012; 2 years ago","Proprietary","Yes",""
"Steed","French Fry, SAS","2012","1.1.1.1014 March 17, 2015; 2 months ago","Proprietary","Yes",""
"Transmit","Panic, Inc.","1998","4.4.8  September 19, 2014; 8 months ago","Proprietary","Yes",""
"WISE-FTP","AceBIT","1998","7.0 (Build 7.0.4) March 16, 2012; 3 years ago","Proprietary","?",""
"edtFTPj","Bruce P. Blackshaw","2000","2.3.0 August 26, 2011; 3 years ago","Proprietary","Yes","Java JAR file"
"edtFTPnet","Bruce P. Blackshaw","2003","2.2.1 August 26, 2011; 3 years ago","Proprietary","Yes","Windows DLL"
