"Editor","JPEG","GIF","PNG","TIFF","SVG"
"Amaya","Yes","Yes","Yes","Yes","Yes"
"Aptana","Yes","Yes","Yes","Yes","Depends"
"Arachnophilia","?","?","?","?","?"
"Bluefish","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon","Yes","Yes","Yes","?","Yes"
"Brackets","Yes","Yes","Yes","No","Yes
(via extension)"
"Claris Homepage","Yes","Yes","No","No","No"
"CoffeeCup HTML Editor","Yes","Yes","Yes","Yes","No"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes"
"Freeway","Yes","Yes","Yes","Yes","Yes"
"GoLive","Yes","Yes","Yes","No","Yes"
"KompoZer","Yes","Yes","Yes","No","No"
"Maqetta","?","?","?","?","?"
"Microsoft Expression Web","Yes","Yes","Yes","Yes","No"
"Microsoft FrontPage","Yes","Yes","Yes","?","Depends"
"Microsoft SharePoint Designer","Yes","Yes","Yes","Yes","No"
"Microsoft Visual Web Developer","Yes","Yes","Yes","Yes","No"
"Nvu","Yes","Yes","Yes","No","No"
"OpenBEXI","Yes","Yes","Yes","Yes","Yes"
"openElement","Yes","Yes","Yes","No","No"
"OpenOffice.org","?","?","?","?","?"
"Quanta Plus","Yes","Yes","Yes","Yes","Yes"
"RapidWeaver","Yes","Yes","Yes","Yes","No"
"SeaMonkey Composer","Yes","Yes","Yes","No","No"
"TOWeb","Yes","Yes","Yes","No","No"
"Web Architect","Yes","Yes","Yes","Yes","Depends"
"WebStorm IDE","Yes","Yes","Yes","No","No"
"Editor","JPEG","GIF","PNG","TIFF","SVG"
