"IRC daemon","Connect-flood detection","Channel flood controls
basic / advanced","Join throttling","Spamfilter
regexp / glob","Channel censor
IRCd config / chanop-controlled","Variable per-channel banlist size","Timed bans","DNSBL","CGI:IRC/WEBIRC host spoofing"
"Bahamut","Yes","Yes / No","Yes","No / No","No / No","No","No","No","Yes"
"bIRCd","No","No / No","No","No / No","No / No","No","No","No","No"
"Charybdis","Yes","No / No","Yes","No / No","No / No","Yes","Yes","Yes","Yes"
"ConferenceRoom","Yes","Yes / Yes","Yes","No / Yes","Partial / No","No","Partial","Yes","No"
"InspIRCd","Yes","Yes / Yes","Yes","Yes / Yes","Yes / Yes","Yes","Yes","Yes","Yes"
"IRCD","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"IRCD-Hybrid","Yes","No / No","No","No / No","No / No","No","No","No","Yes"
"ircd-ratbox","Yes","No / No","No","No / No","No / No","No","No","No","Yes"
"ircu","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No","No"
"ithildin","Module","No / No","No","No / No","No / No","No","No","Unknown","Unknown"
"miniircd","No","No","No","No","No","No","No","No","No"
"Nefarious IRCu","Yes","No / No","No","Yes / No","No / No","No","No","Yes","Yes"
"ngIRCd","No","No / No","No","No / No","No / No","No","No","No","Yes"
"OfficeIRC Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"PleXusIRCd","Yes","No / No","No","No / No","No / No","No","No","Unknown","Unknown"
"pureIRCd","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
"RockIRCd","No","Yes / No","No","No","No","No","No","No","Unknown"
"RubIRCd","No","No","No","No","No","No","No","No","No"
"ShadowIRCd","Yes","No / No","Yes","No / No","No / No","Yes","Yes","Yes","Yes"
"solid-ircd","Yes","Yes / No","Yes","No / No","No / No","No","No","No","Unknown"
"Synchronet IRCd","Yes","Yes / No","Yes","No / No","No / No","No / No","No","No","Unknown"
"UnrealIRCd","yes / NO","Yes","Yes","Yes / No","Yes / third party module","No","No","Third party module","Yes"
"WeIRCd","Partial","No / No","No","No / No","No / No","No","No","No","Yes"
