"","Protocol","Author, creator","First public release date","Latest stable version","Cost (USD)","Software license","Programming language"
"AChat","?","Michal Hruby","2005","beta 7 (v0.150) (January 24, 2007; 8 years ago)","Free","GNU GPL","Delphi, C# version begun"
"Akeni LAN Messenger","Akeni Network Protocol","Akeni","2002","1.2.118 (May 22, 2014; 12 months ago)","Non-free, shareware $16.95","Proprietary","C++"
"BigAnt Messenger","?","BigAnt","2001","2.97 (February 4, 2013; 2 years ago)","Non-free, shareware $20.00 + server","Proprietary","?"
"Bopup Messenger","Bopup IM protocol","B Labs","2001","6.3.2 (October 21, 2013; 19 months ago)","Non-free, shareware $12.90 + server (volume licensing available)","Proprietary","C++"
"BORGChat","?","Ionut Cioflan","2002","v1.0.0 b438 (March 31, 2007; 8 years ago)","Free","Freeware","?"
"DeskAlerts","?","Softomate","2007","4.0","Non-free, commercial $1.00 + server","Proprietary","?"
"dMessage","?","MGI Consultants","2007","6.20 (June 20, 2010; 4 years ago)","Non-free, shareware 

(6 to 20 depending on number of stations)","Proprietary","?"
"iChat","Bonjour IM Protocol","Apple Inc.","2003","5.0.3 (745), (April 26, 2010; 5 years ago)","Non-free, bundled with OS","Proprietary","Likely Objective-C"
"iptux","Windows Messenger service","Jally, ManPT, others","2008","0.51 (November 20, 2009; 5 years ago)","Free","GNU GPL","?"
"LAN Chat Enterprise","?","KGY Soft","2001","3.3, (May 29, 2007; 8 years ago)","Non-free, shareware $12.00","Proprietary","?"
"LinPopUp","Windows Messenger service","Jean-Marc Jacquet","2000","1.2.0 (Debian, April 7, 2008; 7 years ago)","Free","GNU GPL","C"
"Miranda IM","Windows Messenger service","Roland Rabien","2000","0.9.3","Free","GNU GPL","C/C++"
"Net-C","?","DGtalize","2008","0.2.0 (May 15, 2010; 5 years ago)","Free","GNU GPL","Java"
"OMessenger","?","Srimax Software System","2002","6.0.43 (March 25, 2010; 5 years ago)","Non-free, shareware $9.80","Proprietary","?"
"Output Messenger","XMPP","Srimax Software System","2015","1.0.64 (April 14, 2015; 58 days ago)","Non-free, shareware $14","Proprietary",""
"Pichat","?","Piratson Technologies","2002","0.4.2 b74 (March 31, 2011; 4 years ago)","Free","Freeware","C++"
"Pidgin","?","Mark Spencer, others","1998","2.10.9 (February 2, 2014; 15 months ago)","Free","GNU GPL","C"
"PopNote","?","K5HUM","2003","3.6 (July 1, 2009; 5 years ago)","Free","Freeware","HotBasic"
"Qualia LAN Messenger","LAN Messenger protocol","Qualia Technologies","2010","1.2.35 (July 25, 2012; 2 years ago)","Free","GNU GPL","C++"
"Softros LAN Messenger","?","Softros Systems, Inc.","2000","6.4.1 (March 23, 2015; 2 months ago)","Non-free, shareware $12.95","Proprietary","?"
"Squiggle LAN Messenger","?","Overroot","2010","3.3 (March 16, 2013; 2 years ago)","Free","Freeware","C#"
"TSR LAN Messenger","?","TSR Software","2012","1.1.5.124 (November 16, 2012; 2 years ago)","Free","Proprietary","C#"
"Vypress Chat","Vypress Chat network protocol","VyPRESS Research, LLC","2000","2.1.8 (December 11, 2009; 5 years ago)","Non-free, shareware $19.00","Proprietary","C/C++"
"Vypress Messenger","Vypress instant messaging protocol","VyPRESS Research, LLC","2000","4.0 (October 19, 2004; 10 years ago)","Non-free, shareware $19.90","Proprietary","C/C++"
"WinMessenger","Windows Messenger service","VyPRESS Research, LLC","2001","2.8.04 (March 19, 2010; 5 years ago)","Non-free, shareware $14.00","Proprietary","C/C++"
"Winpopup LAN Messenger","?","Fomine Software","2002","5.3 (June 18, 2008; 6 years ago)","Non-free, shareware $14.95","Proprietary","?"
"LAN Messenger v3","?","Ken Ballentine (updated by Steven Cole)","2006","3.4 (May 21, 2011; 4 years ago)","Free","Freeware","Visual Basic .NET"
"BeeBEEP","BeeBEEP Protocol","Marco Mastroddi","2010","0.9.7 (August 9, 2010; 4 years ago)","Free","Freeware","C++ and Qt"
