"","Windows","OS X","Linux","BSD","Unix"
"AChat","Yes","No","No","No","No"
"Akeni LAN Messenger","Yes","No","Yes","No","No"
"BigAnt Messenger","Yes","Yes","No","No","No"
"Bopup Messenger","Yes","No","No","No","No"
"BORGChat","Yes","No","No","No","No"
"DeskAlerts","Yes","Yes","Yes","Yes","Yes"
"dMessage","Yes","No","No","No","No"
"iChat","No","Yes","No","No","No"
"iptux","No","No","Yes","No","No"
"LAN Chat Enterprise","Yes","No","No","No","No"
"LinPopUp","No","No","Yes","No","No"
"Miranda IM","Yes","No","No","No","No"
"Net-C","Yes","Yes","Yes","Yes","No"
"OMessenger","Yes","Yes","Yes","Yes","No"
"Output Messenger","Yes","Yes","Yes","Yes","No"
"Pichat","Yes","No","Yes","Yes","No"
"PopNote","Yes","No","No","No","No"
"Qualia LAN Messenger","Yes","Yes","Yes","No","Yes"
"Softros LAN Messenger","Yes","Yes","No","No","No"
"Squiggle LAN Messenger","Yes","No","No","No","No"
"","","","","",""
"TSR LAN Messenger","Yes","No","No","No","No"
"Vypress Chat","Yes","No","No","No","No"
"Vypress Messenger","Yes","No","No","No","No"
"WinMessenger","Yes","No","No","No","No"
"Winpopup LAN Messenger","Yes","No","No","No","No"
"LAN Messenger v3","Yes","No","No","No","No"
"BeeBEEP","Yes","Yes","Yes","Yes","Yes"
