"","Toolkits or SDKs","Private messages","Private chat","Public chat","Message board","Encryption","File transfer","Unicode (UTF-8)","Message filtration","Graphical smiley","Message logging","Whiteboard","Terminal Service Compatibility","User base in Active Directory","Serverless (No server required)"
"","","","","","","","","","","","","","","",""
"AChat","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No","Yes"
"Akeni LAN Messenger","No","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes"
"BigAnt Messenger","W32","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No"
"Bopup Messenger","W32","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","No"
"BORGChat","No","Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes"
"dMessage","No","Yes","No","No","Yes","No","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes"
"iChat","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No"
"iptux","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","No","No","Yes"
"LAN Chat Enterprise","No","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes"
"LinPopUp","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes"
"Miranda IM","?","Yes","?","?","?","?","Yes","Yes","?","Yes","Yes","?","?","?","Yes"
"Net-C","No","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes"
"Overroot Squiggle LAN Messenger","No","Yes","Yes","Yes","No","?","Yes","No","No","Yes","Yes","No","No","No","Yes"
"OMessenger","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Output Messenger","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No"
"Pichat","W32 + Linux","Yes","Yes","Yes","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes"
"PopNote","No","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","Yes"
"Qualia LAN Messenger","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes"
"Softros LAN Messenger","W32","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes"
"TSR LAN Messenger","No","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes"
"Vypress Chat","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Vypress Messenger","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"WinMessenger","No","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Winpopup LAN Messenger","W32","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes"
"Lan Messenger V3","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes"
"BeeBEEP","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes"
