"Platform","Levels","Two-player mode","Fast forward","Action replay","Maximum number
of lemmings","Map thumbnail","Adjustable release rate"
"Commodore Amiga","120","Yes","No","No","100","Yes","Yes"
"Atari ST","120","Yes","No","No","100","Yes","Yes"
"MS-DOS","120","No","No","No","80","Yes","Yes"
"ZX Spectrum","060","No","No","No","20","No","Yes"
"Commodore Amiga CDTV","120?","Yes","No","No","100","Yes","Yes"
"SNES","125","Yes","No","No","100","Yes","Yes"
"Acorn Archimedes","120","No","Yes","No","100","Yes","Yes"
"Arcade (prototype only)","67","Yes","Yes","No","25","Yes","Yes"
"NES","100","No","No","No","14","No","No"
"TurboGrafx-CD","120","Yes","No","No","100","Yes","Yes"
"Atari Lynx","120","No","Yes","No","40","No","Yes"
"Sega Master System","120","No","No","No","20","No","Yes"
"Sega Genesis / Mega Drive","180","Yes","No","No","100","Yes","Yes"
"Amstrad CPC","60","No","No","No","50","Yes","Yes"
"SAM Coupé","120","No","No","No","20","No","Yes"
"Commodore 64","100","No","No","No","50","No","Yes"
"Commodore Amiga CD32","120?","Yes","No","No","100","Yes","Yes"
"Philips CD-i","120","No","No","No","100","Yes","Yes"
"Sega Game Gear","120","No","No","No","20","No","Yes"
"Game Boy","100","No","No","No","14","No","No"
"3DO","120","No","No","No","100","Yes","Yes"
"Windows 95","116","No","Yes","Yes","100","Yes","Yes"
"Apple Macintosh","120","No","Yes","No","80","Yes","Yes"
"OS/2 (demo only)","?","No","?","?","?","?","?"
"Apple II","92","No","Yes","No","40–100","Yes","Yes"
"PlayStation","209","No","Yes","Yes","100","Yes","Yes"
"Game Boy Color","209","Yes","Yes","Yes","100","Yes","Yes"
"Mobile phone (Java ME)","120","Yes","Yes","Yes","100","Yes","Yes"
"Amstrad GX4000","120","?","?","?","100","?","?"
"PlayStation Portable","156","No","Yes","No","100","No","Yes"
"PlayStation 3","45","No","Yes","No","100","Yes","Yes"
"Game Boy Advance","120","No","Yes","No","40","No","Yes"
"Nintendo DS","292","No","Yes","No","100","Yes","Yes"
"Commodore Plus/4","120","No","No","No","60","Yes","Yes"
"Java","120","No","Yes","Yes","100","Yes","Yes"
"DHTML","40","No","Yes","No","100","No","Yes"
"UIQ","120","No","No","No","100","Yes","Yes"
"MSX2","60","No","No","No","20","No","Yes"
"Palm Pilot","180","No","No","No","20","No","No"
"Pocket PC","120","No","No","No","100","No","No"
"Cambridge Z88","60","Yes","Yes","Yes","20","?","?"
