"Distribution","x86","x86-64","ia64","ppc","ppc64","sparc32","sparc64","arm","hppa","loongson","mips","sh","s390","s390x","alpha","m68k"
"Arch Linux","Yes (>=i686)","Yes","No","Discontinued unofficial port","No","No","No","Yes
Unofficial","No","In progress. Unofficial port","No","No","No","No","No","No"
"BackTrack","Discontinued from BackTrack 5 and superseded by Kali Linux","Discontinued from BackTrack 5 and superseded by Kali Linux","No","No","No","No","No","Discontinued from BackTrack 5 and superseded by Kali Linux","No","No","No","No","No","No","No","No"
"Bodhi Linux","Yes","Yes","No","No","No","No","No","Discontinued
2013-10-23","No","No","No","No","No","No","No","No"
"BOSS Linux","Yes","Yes","No","Yes","Yes","No","No","?","No","No","No","No","No","No","No","No"
"CentOS","Discontinued
2.1-6","Yes","Discontinued
3.5-3.8
4.1-4.7","Beta
4.0","No","Beta
4.2","No","No","No","No","No","No","Discontinued
3.5-3.8
4.1-4.7","Discontinued
3.5-3.8
4.1-4.7","Discontinued
4.2-4.3","No"
"Chakra","No","Yes","No","No","No","No","No","?","No","No","No","No","No","No","No","No"
"CRUX","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No"
"Debian","Yes","Yes
4.0+","Discontinued
3.0-7.0","Yes
2.2+","Yes","Discontinued
2.1-4.0","Discontinued
-7","Yes
2.2+","Discontinued
3.0-5.0","Yes","Yes
3.0+","In progress","Discontinued
3.0-7","Yes
7+","Discontinued
2.1-5.0","Discontinued
2.0-3.1"
"Dragora GNU/Linux-Libre","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Fedora","Yes","Yes","Discontinued from 
Fedora 9","Yes","Yes","No","Still active but slow in development, Last available is 
Fedora 12,
 Working on 
Fedora 18","Yes","No","In progress","Inactive from 
Fedora 13","No","No","Yes","No","No"
"Finnix","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Gentoo","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"gNewSense","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"Kali Linux","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"LibreCMC/LibreWRT","No","No","No","No","No","No","No","No","No","No","Yes XBurst","No","No","No","No","No"
"MEPIS","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"OpenELEC","Yes","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"openSUSE","Yes","Yes","No","No","No","No","partial","partial","No","No","No","No","No","No","No","No"
"OpenWrt","Yes","No","No","Yes","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No"
"Oracle Linux","Yes","Yes","Discontinued
5","No","No","No","No","No","No","No","No","No","No","No","No","No"
"Parabola GNU/Linux-libre","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No"
"Red Flag Linux","Discontinued
8.0","Discontinued
8.0","Discontinued
3","No","Discontinued
3","No","No","No","No","No","No","No","No","No","No","No"
"Red Hat Linux","Discontinued
9.0","No","Discontinued
7.1-7.2","Test release
5.1","No","Discontinued
4.0-4.2
5.1-6.2","Test release
5.1","No","No","No","Test release
5.1","No","Discontinued
7.2","Yes","Discontinued
2.1-7.1","Test release
5.1"
"Red Hat Enterprise Linux","Discontinued
2.1-6","Yes
3+","Discontinued
2.1-5","Yes
3+","Yes
3+","No","No","No","No","No","No","No","Discontinued
3-4","Yes
3+","No","No"
"Scientific Linux","Yes","Yes","Discontinued
3-4","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SHR","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Slackware","Yes","Yes","No","No","No","Discontinued
?","No","Yes","No","No","No","No","Discontinued
?","Discontinued
?","Discontinued
8.1","No"
"Source Mage GNU/Linux","Yes","Yes","No","Yes","No","No","No","No","No","?","No","No","No","No","No","No"
"SUSE Linux Enterprise Server","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No"
"Tor-ramdisk","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No"
"Ubuntu/Kubuntu/Xubuntu/Lubuntu","Yes","Yes","No","Yes","No","No","No","Yes, including 64-bit ARMv8-A","No","No","No","No","No","No","No","No"
"Ututo","Yes","Yes","No","No","No","No","No","No","No","In progress","No","No","No","No","No","No"
"XBMCbuntu","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No"
"Yellow Dog Linux","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Distribution","x86","x86-64","ia64","ppc","ppc64","sparc32","sparc64","arm","hppa","loongson","mips","sh","s390","s390x","alpha","m68k"
