"Distribution","Approximate number of pre-compiled packages","Approximate number of source packages","Default package management tools","Package format","Default installer","Graphical installation process","Netinstall","Netboot"
"ALT Linux","8,300","","APT (APT-RPM), RPM","RPM","","Yes","?","?"
"Arch Linux","12,466","55,843 from AUR","Pacman",".pkg.tar.xz","None (install scripts only)","No","Yes","iPXE"
"BLAG","10,000","","RPM, yum, APT","RPM","","Yes","No","No"
"Bodhi Linux","35,000","","APT",".dpkg","Ubiquity","Yes","?","?"
"CentOS","1,660 (plus 9,155 from EPEL)","","RPM, yum/up2date","RPM","","Yes","Yes","?"
"Chakra","3,074","CCR: 3,374","Pacman (will be replaced by Akabei in future)",".pkg.tar.xz","","Package manager in development","?","?"
"ClearOS","","","RPM, yum","RPM","","No","?","?"
"CrunchBang Linux","23,000","","APT",".deb","","Yes","?","?"
"Damn Small Linux","610","","myDSL, APT",".dsl, .tar.gz, .uci, .unc, .deb","","No","?","?"
"Debian","56,844","14,975","APT",".deb","Debian-Installer","Yes","Yes","PXE"
"Dragora GNU/Linux-Libre","?","?","APT",".dpkg","?","?","No","No"
"dyne:bolic","?","?","APT",".deb","Debian-Installer","Yes","No","No"
"Elive","20,000","","APT",".deb","","Yes","?","?"
"Fedora","22,000","","DNF, yum, PackageKit","RPM","Anaconda","Yes","?","?"
"Gentoo","18,063","36,656","Portage","ebuild","","Yes","?","PXE"
"gNewSense","?","?","APT",".deb","Debian-Installer","Yes","Yes","No"
"gnuLinEx","200","","APT",".deb","","Yes","?","?"
"Knoppix","3,600","","APT",".deb","","No","?","?"
"LibreCMC/LibreWRT","?","?","?","?","?","?","?","?"
"Linux Mint","50,781","","APT",".deb","Ubiquity","Yes","?","?"
"Mageia","17,283 (i586), 11,409 (x86-64)","8,834","urpmi, rpmdrake","RPM","DrakX","Yes","Yes","?"
"Mandriva Linux","22,600","","urpmi, rpmdrake","RPM","DrakX","Yes","?","?"
"MEPIS","20,000","","APT",".deb","MEPIS Install","Yes","?","?"
"Musix GNU+Linux","?","?","APT",".deb","Debian-Installer","Yes","No","No"
"OpenELEC","140","","XBMCbuntu addon manager, own and 3rd party addons",".zip","","Yes","?","?"
"openSUSE","54,595","18,895","YaST, Zypper","RPM","YaST","Yes","Yes","?"
"OpenWrt","2,000","","opkg",".ipk","-","No","?","?"
"Parabola GNU/Linux-libre","15,352","?","Pacman",".pkg.tar.xz","None (install scripts only)","No","MIPS64","No"
"Pardus","4,000","","PiSi",".pisi","YALI","Yes","?","?"
"Parsix","29,000","14,900","APT",".deb","","Yes","?","?"
"PCLinuxOS","12,000","","APT, RPM","RPM","","Yes","?","?"
"Puppy","700","","PupGet, DotPup",".pup, .pet","","Yes","?","?"
"Red Hat Enterprise Linux","3,000 (plus 9,155 from EPEL)","","RPM, yum","RPM","","Yes","?","?"
"Rxart","5,000","","APT",".deb","","Yes","?","?"
"Sabayon Linux","12,000","","Portage, Entropy","ebuild","","Yes","?","?"
"Scientific","","","APT/yum","RPM","","Yes","?","?"
"Slackware","2,292","","installpkg, upgradepkg","tgz, .txz, .tlz, .tbz","","No","?","?"
"Slax","2,050","","none",".lzm","","","?","?"
"SliTaz GNU/Linux","3,381","","Tazpkg",".tazpkg","tazinst","Yes","?","?"
"Source Mage GNU/Linux","5,514","","Sorcery Package Manager","src","","Yes","?","?"
"SUSE Linux","24,094","11,385","YaST, Zypper","RPM","YaST","Yes","?","?"
"Tiny Core Linux","25,160","","ab, tce-load","tcz","tc-install, core2usb","Yes","?","?"
"Tiny SliTaz","50","","Web site","tazpkg","","No","?","?"
"Tor-ramdisk","","","none","none","","No","?","?"
"Trisquel","52,734","?","APT",".deb","Ubiquity","Yes","?","?"
"Ubuntu, Kubuntu, Xubuntu","56,626","","APT",".deb","Ubiquity","Yes","Yes","PXE"
"Ututo","5,000","?","UTUTO Package Manager","ebuild","?","?","No","No"
"Vector Linux","","","slapt-get, gslapt, installpkg","tgz","","Yes","?","?"
"XBMC Live","","","APT",".deb","","No","?","?"
"Zentyal","","","APT",".deb","dpkg","Yes","?","?"
"Zenwalk","2,000","","netpkg, installpkg, upgradepkg","tgz, txz","","Yes","?","?"
"Distribution","Approximate number of packages","Approximate number of source packages","Default package management tools","Package format","Default installer","Graphical installation process","Netinstall","Netboot"
