"Name","C#","Client-Specific","Lua","Perl","Python","Ruby","TINTIN","VB.NET","Tcl","PHP","JScript"
"AMudClient","No","Yes","No","Yes","No","No","No","No","No","No","No"
"Atlantis","No","Yes","Yes","Yes","No","No","No","No","?","?","?"
"CMUD","WSH","No","Yes","WSH","WSH","WSH","Yes","WSH","?","?","WSH"
"GGMUD","?","?","Yes","?","?","?","Yes","?","?","?","?"
"GMUD","No","Yes","No","No","No","No","No","No","No","No","No"
"Gnome-Mud","No","No","?","No","Yes","No","No","No","?","?","?"
"JamochaMUD","?","?","?","?","?","?","?","?","?","?","?"
"KBtin","No","No","?","No","No","No","Yes","No","?","?","?"
"KildClient","No","No","?","Yes","No","No","No","No","?","?","?"
"KMuddy","?","Yes","Yes","Yes","Yes","Yes","?","?","?","Yes","?"
"Lyntin","No","No","?","No","Yes","No","Yes","No","?","?","?"
"mcl","?","?","?","?","?","?","?","?","?","?","?"
"muby","No","No","?","No","No","Yes","No","No","?","?","?"
"Mudlet","No","No","Yes","No","No","No","No","No","No","No","No"
"MudMagic","?","?","?","?","?","?","?","?","?","?","?"
"MUSHclient","No","No","Yes","Yes","Yes","Minimal","No","Yes","Yes","Yes","Yes"
"Portal","No","Yes","No","No","No","No","No","No","No","No","No"
"Potato","No","Yes","No","No","No","No","No","No","Yes","No","No"
"Powwow","No","Yes","No","No","No","No","No","No","No","No","No"
"Pueblo/UE","?","?","?","?","?","?","Yes","?","?","?","?"
"SimpleMU","No","No","No","No","No","No","No","No","No","No","No"
"Soiled","No","No","No","No","No","No","No","No","No","No","No"
"TinTin++","No","No","CLI","CLI","CLI","CLI","Yes","No","CLI","CLI","No"
"TinyFugue","No","Yes","No","No","No","No","No","No","No","No","No"
"Tortilla","?","?","Yes","?","?","?","Yes","?","?","?","?"
"Trebuchet","No","No","No","No","No","No","No","No","Yes","No","No"
"Wintin.Net","Yes","No","?","No","No","No","Yes","Yes","?","?","?"
"zMUD","No","No","No","No","No","No","Yes","No","No","No","WSH"
