"NMDC hub","FOSS","Software license","Active","Latest version (release date)","GUI","CLI","Other","IPv6 support","Programming language","Based on","Notes"
"UFOHub","No","Proprietary
Freeware","Yes","8.15.6 (2015-May-29)","Yes","Unknown","Unknown","Yes","Unknown","UFOHub","Available"
"PTDCH","Yes","GNU GPL","Yes","Never released since 2008","Yes","Unknown","Unknown","No","Visual Basic, Jscript, VBscript","DDCH",""
"Dtella","Yes","GNU GPL","Yes","1.2.7 (2012-08-15)","No","No","Yes","No","Python","",""
"HeXHub","Yes","Open Software License","Yes","5.07 (2011-05-29)","Yes","Unknown","Unknown","No","Assembly","",""
"Open Direct Connect Hub","Yes","GNU GPL","No","0.8.3 (2014-08-14)","No","Unknown","Unknown","No","C, Perl","","Available in Debian and OpenWrt"
"Flexhub","Yes","GNU AGPL","Yes","Beta0.2svn1469 (2013-10-22)","Pending","Yes","Unknown","No","Lua","",""
"PtokaX","Yes","GNU GPL","Yes","0.5.0.3 (2015-02-50)","Yes","Yes","Unknown","Yes","C++, Lua","",""
"RusHub","Yes","GNU GPL","Yes","2.3.10 (2012-06-10)","No","Yes","Unknown","Yes","C++, Lua","Verlihub",""
"VerliHub","Yes","GNU GPL","Yes","1.0.0-RC4 (2015-02-28)","No","Yes","Unknown","No","C++, Lua, Python, Perl","",""
"Eximius","No","Proprietary
Freeware","Yes","2007","Yes","Unknown","Unknown","No","C#, Lua","",""
"DB Hub","Yes","GNU GPL","No","2008","Unknown","Unknown","Unknown","No","Unknown","OpenDCHub",""
"openDCd","Yes","GNU GPL","No","2002","Unknown","Unknown","Unknown","No","Unknown","",""
"DDCH DevDirect Connect Hub","Unknown","Unknown","No","","Yes","No","No","No","Visual Basic, Jscript","",""
"py-dchub","Yes","MIT License","No","0.2.4 (2006-02-13)","Unknown","Unknown","Unknown","No","Python","",""
"Aquila","Yes","GNU GPL","No","2012","No","Yes","No","No","C++, Lua","",""
"YnHub","No","Proprietary
Freeware","Yes","1.0363 (2014-02-20)","Yes","No","No","No","Delphi","",""
"LamaHub","Yes","GNU GPL","No","0.0.6.3 (2010-04-25)","Unknown","Unknown","Unknown","No","C","",""
"DC Sharp Hub","Yes","GNU GPL","No","3.0.4 beta (2004-09-06)","Unknown","Unknown","Unknown","No","C#","",""
"NMDC hub","FOSS","Software license","Active","Latest version (release date)","GUI","CLI","Other","IPv6 support","Programming language","Based on",""
