"OLAP Server","MOLAP","ROLAP","HOLAP","Offline"
"Essbase","Yes","Yes","Yes",""
"icCube","Yes","No","No","Offline Cubes"
"Infor BI OLAP Server","Yes","No","No","Local cubes"
"Jedox OLAP Server","Yes","Yes","Yes","No"
"Microsoft Analysis Services","Yes","Yes","Yes","Local cubes,
 PowerPivot for Excel"
"MicroStrategy Intelligence Server","Yes","Yes","Yes","MicroStrategy Office,
 Dynamic Dashboards"
"Mondrian OLAP server","Yes","Yes","Yes",""
"Oracle Database OLAP Option","Yes","Yes","Yes",""
"SAS OLAP Server","Yes","Yes","Yes",""
"IBM TM1","Yes","No","No",""
"IBM Cognos","Yes","Yes","Yes",""
"SAP NetWeaver BW","Yes","Yes","No",""
"Cubes (OLAP server)","No","Yes","No",""
