"OLAP Server","Authentication","Network encryption","On-the-Fly","Data access","Data access","Data access"
"OLAP Server","Authentication","Network encryption","On-the-Fly","Cell security","Dimension security","Visual totals"
"Essbase","Essbase authentication, LDAP authentication, Microsoft Active Directory","SSL","Yes","Yes","Yes","Yes"
"icCube","HTTP Basic/Form Authentication, Windows SSO (NTLM,Kerberos)","SSL","Yes","Yes","Yes","Yes"
"Infor BI OLAP Server","OLAP authentication, Infor Federation Services, LDAP, Microsoft Active Directory","Yes","Yes","Yes","Yes","?"
"Jedox OLAP Server","Jedox authentication, LDAP, Microsoft Active Directory","SSL","Yes","Yes","Yes","?"
"Microsoft Analysis Services","NTLM, Kerberos","SSL and SSPI","?","Yes","Yes","Yes"
"MicroStrategy Intelligence Server","Host authentication, database authentication, LDAP, 
Microsoft Active Directory, NTLM, SiteMinder, Tivoli, SAP, Kerberos","SSL, AES","?","Yes","Yes","Yes"
"Oracle Database OLAP Option","Oracle Database authentication","SSL","?","Yes","Yes","?"
"SAS OLAP Server","Host authentication,SAS token authentication, LDAP, Microsoft Active Directory","Yes","?","Yes","Yes","Yes"
"TM1","Builtin, LDAP, Microsoft Active Directory, NTLM, IBM Cognos BI authentication","SSL","Yes","Yes","Yes","?"
