"Products","","Version","Operating systems","Office suite","Developer","License","ISO/IEC 26300:2006","Notes"
"P1","Calligra Sheets","2.4+","Windows, Mac OS X, Linux, Unix-based systems","Calligra Suite","KDE Project","GPL / LGPL","Yes",""
"P2","EditGrid","","Any (Web-based)","","Team and Concepts","Proprietary","Yes",""
"P3","Gnumeric","1.12.5+","Linux, Unix-based systems, Windows","","GNOME","GPL","Yes","Saves in ODF 1.2"
"P4","Google Spreadsheets","","Any (Web-based)","Google Docs & Spreadsheets","Google","Proprietary","no (not valid)",""
"P5","IBM Lotus Symphony","1.0+","Windows, Linux, Mac OS X","IBM Lotus Symphony","IBM","Proprietary","Yes",""
"P6","IBM Workplace Documents","2.5+","Any (Web-based)","IBM Workplace Collaboration Services","IBM","Proprietary","Yes","no longer being actively marketed"
"P7","KSpread / KCells","1.4+","Linux, Unix-based systems","KOffice","KDE Project","LGPL","Yes",""
"P8","LibreOffice Calc","3.3.0","Windows, Linux, Unix-based systems, Mac OS X, Solaris","LibreOffice","LibreOffice","LGPL","Yes",""
"P9","Microsoft Office Excel","2007 SP2","Windows","Microsoft Office","Microsoft","Proprietary","No (different results in validators)",""
"P10","NeoOffice Calc","1.2","Mac OS X","NeoOffice","Patrick Luby and Edward Peterlin","GPL","","Import only"
"P11","NeoOffice Calc","2.2.5","Mac OS X","NeoOffice","Patrick Luby and Edward Peterlin","GPL","Yes",""
"P12","OpenOffice.org Calc","2.0+","Windows, Linux, Unix-based systems, Mac OS X, Solaris","OpenOffice.org","OpenOffice.org","LGPL","Yes",""
"P13","StarOffice Calc","8","Windows, Linux, Solaris","StarOffice","Sun Microsystems","Proprietary","Yes",""
"P14","Zoho Sheet","2006","Any (Web-based)","Standalone","AdventNet","Proprietary","Yes",""
"P15","","Version","Operating systems","Office suite","Developer","License","ISO/IEC 26300:2006","Notes"
