"DVR","Subscription free electronic program guide (EPG)","power management","Multiple TV tuner card support","CableCARD support","CAM support","ATSC tuner support","Automated commercial skipping","Teletext","Schedule timed recordings","Personalized intelligent recording and scheduling","DRM support","DVB (T/T2, S/S2, C) tuner support","Smartphone/Tablet playback","Smartphone/Tablet syncing","Smartphone/Tablet remote control"
"Beyond TV","Yes","Yes","Yes","No","?","Yes","Yes","No","Yes","Yes","No","No","?","?","?"
"CenterStage","No","Unknown","No","No","?","Unknown","No","Unknown","No","Unknown","No","?","?","?","?"
"EyeTV","style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Partial","Yes","Yes","No","?","Yes","External add-on","Yes","Yes","Yes","Yes","Yes","?","?","?"
"Kodi (formerly XBMC)","Yes","Yes","External add-on","External add-on","External add-on","External add-on","Yes","External add-on","Yes","External add-on","External add-on","External add-on","Using Plugin","Using Plugin","Using Apps"
"NextPVR","DVB/XMLTV","Unknown","Yes","No","?","Yes","Yes","Yes","Yes","Yes","Unknown","Yes","?","?","?"
"MediaPortal","/XMLTVstyle=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Partial","Yes","Yes","Partial","Supported on some specific cards","Yes","Using Plugin","Yes","Yes","Yes","Partial support","Yes","Yes","?","Yes"
"MediaPhoenix/ShowShifter","DVB","Unknown","Yes","No","?","Unknown","No","No","Yes","Yes","Unknown","Yes","No","No","No"
"MythTV","style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Partial","Yes","Yes","Limited","Yes","Yes","Yes","Yes","Yes","Requires external add-on","No","Yes","Yes","No","Yes"
"SageTV","Yes","Yes","Yes","style=""background:#FFB;vertical-align:middle;text-align:center; "" class=""table-partial""|Partial","?","Yes","style=""background:#bfd; color:black; vertical-align:middle; text-align:center; "" class=""table-yes2"" |","No","Yes","Yes","No","?","?","?","?"
"Video Disk Recorder","Yes","Yes","Yes","No","Yes","Yes","No","Using Plugin","Yes","Using Plugin","No","Yes","Using Plugin","No","Using Plugin"
"Windows Media Center","Yes","Yes","Yes","Yes","?","Yes","External add-on","Yes","Yes","Yes","Yes; also respects the ""do not record"" flag, not supported by US courts.","Supports DVB-T/T2 and DVB-S/S2; does not support DVB-C","Yes","Yes","Yes"
"VBox@TV","DVB Guide info varies by broadcaster and TV service provider","No","Yes","No","Yes","Yes","?","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes"
