"Name","User interface","SSH1","SSH2","Additional protocols","Additional protocols","Tunneling","Tunneling","Tunneling","Session
multiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxy client"
"Name","User interface","SSH1","SSH2","TELNET","rlogin","Port
forwarding","SOCKS","VPN","Session
multiplexing","Kerberos","IPv6","Terminal","SFTP/SCP","Proxy client"
"AbsoluteTelnet","GUI (multi-session,
single-window)","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS 4, 5; HTTP"
"Dropbear","command line","No","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","?"
"lsh","command line","No","Yes","Yes","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","?"
"MindTerm","GUI or command Line or browser","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","SOCKS 4, 5; HTTP;;FTP;Generic"
"MobaXterm","GUI or command line","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","SOCKS 4, 5"
"OpenSSH","command line","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","ProxyCommand"
"PACManager","GUI","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","SOCKS 4, 5; HTTP; Generic"
"Private Shell","GUI or command line","No","Yes","Yes","No","Yes","Yes","No","","No","Yes","Yes","Yes","SOCKS 5"
"ProxyCap","GUI","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","SOCKS 4, 5; HTTP; SSH"
"PuTTY","GUI or command line","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS 4, 5; HTTP; Telnet; Local"
"Salt","GUI","No","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","SSH"
"SecureCRT","GUI","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","SOCKS 4, 5; HTTP; Telnet; Generic"
"SmartFTP","GUI (multi-session,
single-window)","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","Yes","SOCKS 4, 5; HTTP"
"Tera Term","GUI","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","SCP","SOCKS 4, 5; HTTP; Telnet"
"TN3270 Plus","GUI","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","SOCKS 4"
"Token2Shell","GUI","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","SOCKS 4, 5; HTTP"
"TtyEmulator","GUI or command line","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","SOCKS 4,4a, 5; HTTP Local"
"WinSCP","GUI or command line","Yes","Yes","No","No","limited","No","No","No","Yes","Yes","simple","Yes","SOCKS 4, 5; HTTP; Telnet; Local"
"ZOC","TDI or command line","Yes","Yes","Yes","Yes","Yes","Yes","No","?","No","Yes","Yes","SCP","SOCKS 4"
"Penguinet","GUI (multi-session,
single-window)","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","SOCKS 4, 5"
