"Implementation","TPM support","Hardware token support","Objects identified via"
"Botan","No","No",""
"cryptlib","No","PKCS11","User-defined label"
"GnuTLS","Yes","PKCS11","RFC7512 PKCS #11 URLs"
"JSSE","No","PKCS11 Java Cryptography Architecture/
Java Cryptography Extension",""
"LibreSSL","Yes","PKCS11 (via 3rd party module)","Custom method"
"MatrixSSL","No","PKCS11",""
"mbed TLS","No","PKCS11 (via libpkcs11-helper) or standard hooks","Custom method"
"NSS","No","PKCS11",""
"OpenSSL","Yes","PKCS11 (via 3rd party module)","Custom method"
"RSA BSAFE MES","No","PKCS11 (via 3rd party module)","User-defined label"
"RSA BSAFE SSL-J","No","No",""
"SChannel","No","Microsoft CryptoAPI","UUID, User-defined label"
"Secure Transport","","",""
"SharkSSL","No","No",""
"wolfSSL","No","No",""
"Implementation","TPM support","Hardware token support","Objects identified via"
