"Implementation","Dependencies","Optional
dependencies"
"Botan","C++11","sqlite, zlib (compression), bzip2  (compression), liblzma (compression)"
"GnuTLS","libc
nettle
gmp","zlib (compression)
p11-kit (PKCS #11)
trousers (TPM)"
"JSSE","Java",""
"MatrixSSL","none","zlib (compression)"
"MatrixSSL-open","libc or newlib",""
"mbed TLS","libc","libpkcs11-helper (PKCS #11)
zlib (compression)"
"NSS","libc
libnspr4
libsoftokn3
libplc4
libplds4","zlib (compression)"
"OpenSSL","libc","zlib (compression)"
"SharkSSL","None",""
"wolfSSL","None","libc, zlib (compression)"
"","",""
