"Assembler","License","Instruction set","Host platform"
"64tass","GPL","MOS Technology 6502, WDC 65C02, WDC 65816/65802","various"
"ACME","GPL","MOS Technology 6502, WDC 65C02, WDC 65816/65802","various"
"AS65","Proprietary","MOS Technology 6502, WDC 65C02, WDC 65816/65802","various"
"ASM6","Public domain","MOS Technology 6502","various"
"ATASM","GPL","MOS Technology 6502","various"
"Atari Assembler Editor","Proprietary","MOS Technology 6502","Atari 8-bit family"
"C64List","Proprietary","MOS Technology 6502","Commodore 64"
"CA65","GPL","MOS Technology 6502, WDC 65C02, WDC 65816/65802","various"
"dasm","GPL","MOS Technology 6502, others","various"
"dreamass","GPL","MOS Technology 6502, WDC 65816/65802","various"
"French Silk","Proprietary","MOS Technology 6502","Commodore 64"
"Kick Assembler","Proprietary","MOS Technology 6502","various"
"Lisa","Proprietary","MOS Technology 6502","Apple II series"
"MAC/65","Proprietary","MOS Technology 6502","Atari 8-bit family"
"MADS","Public domain","MOS Technology 6502, WDC 65816/65802","various"
"Merlin","Proprietary","MOS Technology 6502, WDC 65C02, WDC 65816/65802","Apple II series, Commodore 64, Commodore 128"
"MOSASM","GPL","MOS Technology 6502","various"
"Ophis","MIT License","MOS Technology 6502, WDC 65C02, MOS Technology 4502/4510 (experimental)","various"
"TMPx","Proprietary","MOS Technology 6502","various"
"vasm","Free","MOS Technology 6502","various"
"VISUAL6502","GPL","MOS Technology 6502","various"
"WLA DX","GPL","MOS Technology 6502, others","various"
"XA65","GPL","MOS Technology 6502, others","various"
"XASM","Public domain","MOS Technology 6502","various"
