"Assembler","OS","Open source","License","x86-64","Active Development"
"A86/A386","Windows, DOS","No","Proprietary","No","No"
"ACK","Linux, Minix, Unix-like","Yes","BSD since 2003","No","1985-?"
"Arrowsoft Assembler","DOS","No","Public Domain","No","No"
"IBM ALP","OS/2","No","Proprietary","No","No"
"AT&T","Unix System V","No","Proprietary","No","1985-?"
"Bruce D. Evans' as86","Minix 1.x, 16-bit part in Linux","Yes","GPL","No","1988-2001"
"Digital Research ASM86","CP/M-86, DOS, Intel's ISIS and iRMX","No","Proprietary","No","1978-1992"
"DevelSoftware Assembler","Windows, Linux, Unix-like","No","Free","Listed, N/A","No"
"FASM","Windows, DOS, Linux, Unix-like","Yes","BSD with added Copyleft","Yes","Yes"
"GAS","Unix-like, Windows, DOS, OS/2","Yes","GPL","Yes","Since 1987"
"GoAsm","Windows","No","Free","Yes","Yes"
"HLA","Windows, Linux, FreeBSD, Mac OS X","Yes","Public domain","No","Yes"
"JWASM","Windows, DOS, Linux, FreeBSD, OS/2","Yes","Sybase Open Watcom Public License","Yes","Yes"
"LZASM","Windows, DOS","No","Free","No","No"
"MASM","Windows, DOS, OS/2","No","Microsoft EULA","Yes","Since 1981"
"Mical a86","Unix, DOS, PC/IX","Yes","?","No","1982-1984"
"NASM","Windows, Linux, Mac OS X, DOS, OS/2","Yes","BSD","Yes","Yes"
"Tim Paterson's ASM","86-DOS, DOS DEBUG","No","Proprietary","No","1979-1983"
"POASM","Windows, Windows Mobile","No","Free","Yes","Yes"
"RosAsm","Windows","Yes","GPL","No","No"
"SLR's OPTASM","DOS","No","Proprietary","No","No"
"TASM","Windows, DOS","No","Proprietary","No","?"
"WASM","Windows, DOS, OS/2","Yes","Sybase Open Watcom Public License","No","?"
"TCCASM","Unix-like, Windows","Yes","LGPL","Yes","Yes"
"vasm","various","Yes","Free","No","Yes"
"Xenix","Xenix 2.3 and 3.0 (before 1985)","No","Proprietary","No","1982-1984"
"Yasm","Windows, DOS, Linux, Unix-like","Yes","BSD","Yes","Yes"
