"Audio compression format","Creator","First public release date","Latest stable version","Encoder cost","Player cost","Proprietary implementations (codecs)","Open-source implementations (codecs)","Application (besides consumer audio)","Music reproduction (consumer audio)","Telephony app","Lossless audio compression","Patented","DRM"
"AAC","ISO/IEC MPEG Audio Committee","1997","ISO/IEC 14496-3","Non-free","Non-free","FAAC (encoding only), iTunes, Nero Digital Audio","FAAD2 (decoding only), FFmpeg, Android OpenCORE AAC (decoding only), Audiocogs (decoding only)","Digital TV service, Internet streaming","Yes","No","No","Non-free Yes","Non-free FairPlay (.m4p only, discontinued)"
"AC-3","Dolby Laboratories","1992","ATSC A52:2012","Non-free","Non-free","DVD players, digital television","FFmpeg, liba52 (decoding only), Aften (encoding only), libavc (2.0 channels max)","Theatrical movie presentation, Digital TV service & home-video (personal recorders, DVD, etc.)","No","No","No","Non-free Yes","?"
"ALAC","Apple Inc.","2004-04-28","QuickTime 7.6","Free","Free","QuickTime, iTunes, RealPlayer","MacOSforge, FFmpeg, Audiocogs (decoding only)","-","Music archival","Yes","Yes","Free","Possible, but never implemented"
"ALS","ISO/IEC MPEG Audio Committee","2005","ISO/IEC 14496-3","Free","Free","mp4als","FFmpeg (decoding only)","-","-","No","Yes","Non-free Yes","?"
"AMBE","Digital Voice Systems","?","?","Non-free","Non-free","?","mbelib","Low bandwidth HF/VHF digital radio, VoIP trunking","No","No","No","Non-free Yes","?"
"AMR","3GPP","1999-06-22","ETSI TS 126 071 V9.0.0 (2009)","Non-free","Non-free","QuickTime, RealPlayer","FFmpeg (decoding only), FFmpeg with OpenCORE libraries, Android","voice recording","No","Yes","No","Non-free Yes","No"
"AMR-WB
(G.722.2)","3GPP","2001-04-10","ETSI TS 126 190 V8.0.0 (2009-01)","Non-free","Non-free","QuickTime, RealPlayer","FFmpeg (decoding only), FFmpeg with VisualOn libraries, Android (decoding only), opencore-amr for both encoding and decoding","voice recording","No","Yes","No","Non-free Yes","No"
"AMR-WB+","3GPP","2004-06-14","ETSI TS 126 290 V8.0.0 (2009-01)","Non-free","Non-free","?","?","voice recording","Yes","Yes","No","Non-free Yes","No"
"apt-X","APTX","1989","2007","Non-free","Non-free","Broadcast audio codecs: Systembase, APT, AVT, Harris Corporation, MAYAH, Prodys, Qbit; wireless headphones: iSkin, JayBird Gear, DTS discs for movies","?","Low latency Studio/transmitter link, Bluetooth A2DP stereo, digital wireless microphone","Yes","Yes","No","Non-free Yes","No"
"ATRAC","Sony Corp.","1991","ATRAC3plus","Non-free","Non-free","MiniDisc, Walkman, VAIO, Clie, PlayStation 3, PlayStation Portable, SDDS, SonicStage, SoundForge, RealPlayer, ConnectPlayer","FFmpeg (decoding only, ATRAC Advanced Lossless are not supported)","voice recording, theatrical movie presentation","-","No","Yes","Non-free Yes","Non-free Yes"
