"Audio compression format","ACM","DirectShow","QuickTime","GStreamer","FFmpeg"
"8SVX","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"AAC","Yes (ffdshow)","Yes (ffdshow, Monogram)","Yes","Yes (GStreamer FFmpeg plug-in)","Yes"
"HE-AAC","Yes (ffdshow)","Yes (ffdshow, Monogram)","Yes","No","Yes"
"AC3","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"E-AC-3","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"AMR","No","No","Yes","Yes (GStreamer Ugly Plug-ins)","Yes"
"Apple Lossless","Yes (ffdshow)","Yes (ffdshow)","Yes","Yes (GStreamer FFmpeg plug-in)","Yes"
"Cook Codec","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"ATRAC3","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"ATRAC3plus","No","No","No","No","Yes"
"DCA aka DTS","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"DTS-HD","No","No","No","No","No"
"FLAC","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer Base Plug-ins, GStreamer FFmpeg plug-in)","Yes"
"Monkey's Audio","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"WavPack","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Shorten","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Sonic Audio","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"MP3","Yes (ffdshow)","Yes","Yes","Yes (GStreamer Ugly, GStreamer FFmpeg plug-in)","Yes"
"RealAudio","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in, GStreamer DLL loader plugin + Binary Codec Packages)","Yes"
"Speex","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStramer Good Plug-ins, GStreamer FFmpeg plug-in)","Yes"
"Vorbis","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer Base Plug-ins, GStreamer FFmpeg plug-in)","Yes"
"La","No","No","No","No","No"
"LPAC","No","No","No","No","No"
"Windows Media Audio v1","Yes (ffdshow)","Yes","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Windows Media Audio v2","Yes (ffdshow)","Yes","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Windows Media Audio Pro","Yes (ffdshow)","Yes","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Windows Media Audio Lossless","No","Yes","Yes (flip4mac)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Windows Media Audio Voice","No","Yes","No","No","Yes"
"Musepack","Yes (ffdshow)","Yes (ffdshow, Monogram)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Meridian Lossless Packing","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"Nellymoser Asao Codec in Flash","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"OptimFROG","No","No","No","No","No"
"Truespeech","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"True Audio (TTA)","Yes (ffdshow)","Yes (ffdshow)","Yes (Perian)","Yes (GStreamer FFmpeg plug-in)","Yes"
"QCELP","Yes (ffdshow)","Yes (ffdshow)","Yes","Yes (GStreamer FFmpeg plug-in)","Yes"
"","","","","",""
