"Audio player","ReplayGain","Tag mass","Tag flexible","Time stretch","Pitch shift","A-B repeat","Bookmark","Auto resume","Shutdown on play complete","Archive ability"
"AIMP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Amarok","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"Audacious","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No"
"Audion","?","?","?","?","?","?","?","?","?","?"
"cmus","Yes","No","No","No","No","No","No","Yes","No","No"
"Cog","?","?","?","?","?","?","?","?","?","?"
"Clementine","Yes","Yes","No","No","No","?","No","No","No","No"
"Exaile","Yes","Yes","?","No","No","Yes","Yes","Yes","Yes","No"
"foobar2000","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Partial","Yes"
"JuK","?","?","?","?","?","?","?","?","?","?"
"MediaMonkey","Yes","Yes","Yes","Partial","Partial","Partial","Partial","Yes","Yes","?"
"MPXPLAY","?","?","?","?","?","?","?","?","?","?"
"MusicBee","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Musicmatch Jukebox","?","Partial","?","No","No","?","?","?","?","?"
"musikCube","?","?","?","?","?","?","?","?","?","?"
"Quod Libet","Yes","Yes","Yes","Partial","Partial","No","Yes","Yes","No","No"
"Rhapsody","?","?","?","?","?","?","?","?","?","?"
"Rhythmbox","Yes","Yes","No","No","No","No","No","Yes","No","No"
"Sonique","No","No","?","Yes","Yes","No","No","No","No","?"
"Winamp","Yes","Yes","?","No","Yes","?","Yes","?","No","?"
"XMMS","Partial","Yes","?","No","No","No","No","Yes","No","No"
"XMPlay","Yes","No","No","No","No","No","Yes","Yes","No","Yes"
"Zinf","?","?","?","?","?","?","?","?","No","?"
"Audio player","ReplayGain","Tag mass","Tag flexible","Time stretch","Pitch shift","A-B repeat","Bookmark","Auto resume","Shutdown on play complete","Archive ability"
