"Audio player","asx/wax/wvx","M3U","pls","XSPF","CUE"
"AIMP","Yes","Yes","Yes","Yes","?"
"Amarok","Yes","Yes","Yes","Yes","Yes"
"Audacious","Partial","Yes","Yes","Yes","Yes"
"Audion","?","?","?","?","?"
"cmus","No","Yes","Yes","No","?"
"Cog","?","?","?","?","?"
"Exaile","Yes","Yes","Yes","Yes","?"
"foobar2000","Yes","Yes","Yes","Yes","Yes"
"JuK","?","?","?","?","?"
"Media Jukebox","Yes","Yes","Yes","?","?"
"MediaMonkey","?","Yes","?","No","?"
"MPXPLAY","?","Yes","?","?","?"
"MusicBee","Yes","Yes","Yes","Yes","?"
"Musicmatch Jukebox","?","?","?","?","?"
"musikCube","?","?","?","?","?"
"Quod Libet","Partial","Yes","Yes","No","?"
"Rhapsody","?","?","?","?","?"
"Rhythmbox","?","?","Yes","?","No"
"Sonique","?","Yes","Yes","?","?"
"XMMS","?","Yes","Yes","?","?"
"Zinf","?","?","?","No","?"
"Audio player","asx/wax/wvx","M3U","pls","XSPF","CUE"
