"Software","API","API","Sybase","Sybase","Apache Derby","IBM","IBM","IBM","IBM","Firebird","Microsoft","Microsoft","MySQL","Oracle","PostgreSQL"
"Software","ODBC","JDBC","ASA","ASE","Apache Derby","DB2 for iSeries","Cloudscape","Informix","SQL Server","Firebird","","","MySQL","Oracle","PostgreSQL"
"AdroitLogic UltraESB","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes"
"Apache Synapse","Yes","Yes","","","Yes","Yes","Yes","","","","Yes","","Yes","Yes",""
"Artix ESB","","","","","","","","","","","","","","",""
"Automation Anywhere Integration Pack","Yes","Yes","Yes","Yes","","","","","Yes","","Yes","","Yes","Yes",""
"BizTalk Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Flow Software","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Informatica Power Center","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","","Yes","","Yes","Yes",""
"JBoss Enterprise Service Bus (ESB)","No","Yes","","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes",""
"JBoss Enterprise SOA Platform","No","Yes","","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","Yes","Yes",""
"Openadaptor","","Yes","","","","Yes","","","Yes","","Yes","","Yes","Yes",""
"OpenESB","","Yes","Yes","","Yes","Yes","","Yes","Yes","","Yes","","Yes","Yes",""
"OpenLink Virtuoso","","","","","","","","","","","","","","",""
"Oracle BPEL Process Manager","","","","","","","","","","","","","","",""
"Oracle Enterprise Service Bus","","","","","","","","","","","","","","",""
"PEtALS ESB","","","","","","","","","","","","","Yes","",""
"SAP Exchange Infrastructure","","Yes","","","","Yes","","","","","Yes","","","Yes",""
"Sun Java Composite Application Platform Suite","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","","Yes","","Yes","Yes",""
"Talend ESB","Yes","Yes","","","Yes","Yes","","","","","Yes","","Yes","Yes",""
"Unify NXJ","","","","","","","","","","","","","","",""
"WebSphere Enterprise Service Bus and WebSphere Process Server","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes",""
"WebSphere Message Broker","Yes","Yes","No","V12, V12.5","V10.5","V8.2, V9.1, V9.5","V4R5,V5R1,V5R2,V5R3","V5.0, V5.1","Yes","No","2000, 2005","","No","Yes",""
"WSO2 Enterprise Service Bus (ESB)","Yes","Yes","","","Yes","Yes","Yes","","","","Yes","","Yes","Yes",""
