"Product","Creator","Platform","First public release","Latest stable version","Software license"
"Acceleo","Obeo","cross-platform (Java / Eclipse)","2006","3.5.0 / 2014-06-10","Eclipse Public"
"Accelerator","Surround Technologies","Windows (C# / .NET)","2007","3.0","Proprietary"
"actifsource","actifsource GmbH","cross-platform (Java / Eclipse)","","4.6.3 / 2011-08-09","Proprietary"
"Apeel PHP Code Generator Pro","City Business Logic","Windows","2001","11.03b / 2011-09-04","Proprietary"
"AtomWeaver","Isomeris","Windows","2010","1.3.1 / 2012-02-20","Proprietary"
"Click2Code","onlinewebtech","windows","2013","1.0 / 2013-09-20","Proprietary"
"Code4Green","Code4Green","Web - Free Online","2009","1.0","Proprietary"
"Code-g flexible pattern based code generator","Abstractmeta","Java","","0.30 / 2012-05-20","Apache License 2.0"
"CodeBhagat","CodeBhagat LLC","Windows (C# / .NET)","2014","1.0 / 2014","Proprietary"
"CodeCooker","CodeCooker","Web - Free Online","2014","0.5.1 / 2014-07-02","Proprietary"
"CodeFluent Entities","SoftFluent","Windows","2005","805 - 2015","Proprietary"
"CodeGenerator360","","Windows (Online Tool)","2011","","Proprietary"
"Code generation plugin for Astah UML Community","José Carreno","cross-platform","2014","1.3.0_GA / 2014-05-08","Free"
"Code OnTime","Code On Time LLC","Windows (c# / .NET)","","","Proprietary and Subscription"
"CodeSmith Generator","CodeSmith Tools]","Windows","2004","6.5.3 /  11-25-2012","Proprietary"
"Cog","Ned Batchelder","cross-platform (Python)","","2.1","MIT"
"DMS Software Reengineering Toolkit","Semantic Designs","Windows","2001","2.0","Proprietary"
"EntiPro","EntiCraft","Windows","","","Proprietary"
"EazyCode","Datacraft","Windows","2004","7.1 / 2014-09-08","Proprietary"
"Flowchart to Code","Athek","Windows","2013","1.0 / 2013-01-10","Proprietary"
"GenerateXY","DotXY","Windows","","5.1","Proprietary"
"Genshi (templating language)","Edgewall Software","cross-platform (Python)","2006-08-03","0.5.1 / 2008-07-09",""
"Iron Speed Designer","Iron Speed, Inc.","Windows","2001","9.2.0 / 2013-12-18","Proprietary"
"JCodeBox","","cross-platform (Java)","","","Proprietary"
"Jigy Generator","GetJigy","Eclipse & Netbeans","2014","1.0.1 / 2014-10-17","Proprietary"
"Jinja (Template engine)","Pocoo team","cross-platform (Python)","","2.1.1","BSD"
"Kid (templating language)","Ryan Tomayko","cross-platform (Python)","","0.9.6 / 2006-12-20",""
"kiss! C#, VB.Net and SQL Script Generator","Cove Bay Software Limited","Windows","2013","4.0.0.0 / 2015-05-05","Proprietary"
"LayerCake Generator .NET","Delphin Habierre","Windows (C# / .NET)","2013","3.6.0 / 2015-04-19","Free / OpenSource"
"Linx 5 beta","Twenty57","Windows .NET 4.5 C#","2008","5","Proprietary"
"Mako","Michael Bayer","cross-platform (Python)","","0.2.3 / 2008-05-12","MIT"
"M-Power","mrc","cross-platform (Java)","2004","","Proprietary"
"Microsoft Visual Studio LightSwitch","Microsoft","Windows","2011","2011-07-26","Proprietary"
"MinuteProject (Velocity, DB, WSDL)","Florian Adler","cross-platform (Java)","2004","0.8.3 / 2013-06-05","Apache License 2.0, GPL"
"MOLGENIS","Morris Swertz","cross-platform (Java)","2004","3.3","LGPL3"
"NoORM","Ulf Pietruschka","cross-platform (Java)","2013","1.0.0 / 2013-11-19","Apache License 2.0"
"OMS.Ice – T4 Text Template Generator","Olaf Meyer","Windows ( .NET )","2012","1.4 / 2012-05-30","Eclipse Public"
"OpenMDX","","cross-platform (Java)","2004-01-28","2.4 / 2009-03-26","BSD"
"OutSystems Platform","OutSystems","Windows","2001","9.0 / 2014-09-24","Proprietary"
"Application Builder","projecz.com","PHP","2014","1.0 / 2014-03-20","Proprietary"
"","","","","",""
"PHPRunner","Xlinesoft","Windows","2003","5.3 / 2010-10-15","Proprietary"
"Radarc Online","Icinetic","Android, iOS, Windows (C#/XAML, Java, Objective C)","2012","1.2.0 / 2014-11-04","Proprietary"
"Reegenerator","Kodeo Limited","Windows (C#, VB.Net)","2010","2.0.5 / 2014-01-26","Proprietary"
"ribosome","Martin Sustrik","cross-platform (Ruby, JavaScript or Python)","2014","1.13 / 2015-03-01","MIT"
"T4","Microsoft","Windows","2005","2010","Proprietary"
"Telosys Tools","OW2","cross-platform (Java : Eclipse)","2011","2.1.0 / 2014-04-02","Eclipse Public License"
"Umple","University of Ottawa","cross-platform (Java / Eclipse)","2010","1.17 / 2013-07-05","MIT"
"Velocity apache","Apache Software Foundation","cross-platform (Java)","","1.6.2 / 2009-03-19","Apache License 2.0"
"X2X","Triple-S GmbH","Windows","2005","X2X-2014","Proprietary"
"XACT X4MR","Applied Conversion Technologies Inc","Virtual DOS","1994","3 / 1997-08-01","Proprietary"
"Xomega.Net for Visual Studio","Xomega.Net","Windows","2010","4.0 / 2013-06-01","Proprietary"
"ZumCoder MDD/MDA/ Template Based","Agen Consultoria – Adilson de ALmeida Pedro","Web – Online","","1.0","Proprietary"
