"","Pipes","Command substitution","Process substitution","Subshells","TCP/UDP connections as streams","Keystroke stacking"
"Bourne shell","bytes concurrent","Yes","No","Yes","No","N/A"
"POSIX shell","bytes concurrent","Yes","No","Yes","No","N/A"
"bash (v4.0)","bytes concurrent","Yes","","Yes","Yes (client only)","N/A"
"csh","bytes concurrent","Yes","No","Yes","No","N/A"
"tcsh","bytes concurrent","Yes","No","Yes","No","N/A"
"Hamilton C shell","bytes concurrent","Yes","No","Yes","No","?"
"Scsh","text","?","?","?","Yes","N/A"
"ksh (ksh93t+)","bytes (may contain serialized objects if  is used) concurrent","","","Yes","Yes (and SCTP support, client only)","N/A"
"pdksh","bytes concurrent","Yes","No","Yes","No","N/A"
"zsh","bytes concurrent","Yes","Yes","Yes","Yes (client and server, but only TCP)","N/A"
"ash","bytes concurrent","Yes","No","Yes","No","N/A"
"CCP","No","No","No","No","No","No"
"COMMAND.COM","text sequential temporary files","No","No","Partial (only under DR-DOS multitasker via )","No","No"
"OS/2 CMD.EXE","text concurrent","No","No","?","No","No"
"Windows CMD.EXE","text concurrent","Yes (via  command)","No","Yes (Backtick:  in )","No","No"
"4DOS","text sequential temporary files","Yes (via  command)","?","Partial (via  and , or via ,  and  and )","No","Yes (via  and )"
"4OS2","text concurrent","?","?","?","No","Yes (via )"
"TCC (formerly 4NT)","text concurrent","Yes (via  command)","?","Partial (via  and )","Yes (via , , , , ,  and , client only)","Yes (via )"
"Windows PowerShell","objects concurrent","Yes","No","Yes","Yes","?"
"rc","text concurrent","Yes","","Yes","No","?"
"BeanShell","not supported","?","?","?","Yes","?"
"VMS DCL","text (via  command)","No","No","Yes (spawn)","Yes (server TCP only)","?"
"fish","bytes concurrent","Yes ()","Yes (  )","No","No","N/A"
