"","Secure (password) prompt","Non-password credentials prompt","Encrypted variables/ parameters","File/directory passwords","Execute permission","Script origin execution restriction","Signed script restriction","Multilevel execution policies","Restricted shell subset","Safe data subset"
"Bourne shell","via","No","No","?","Yes","No","No","No","Yes","No"
"POSIX shell","via","No","No","?","Yes","No","No","No","No","No"
"bash (v4.0)","","No","No","?","Yes","No","No","No","Yes","No"
"csh","via","No","No","?","Yes","No","No","No","Yes","No"
"tcsh","via","No","No","?","Yes","No","No","No","Yes","No"
"Hamilton C shell","No","No","No","No","No","No","No","No","No","No"
"Scsh","via","No","No","?","Yes","No","No","No","No","No"
"ksh (ksh93t+)","via","No","No","?","Yes","No","No","No","Yes","No"
"pdksh","via","No","No","?","Yes","No","No","No","Yes","No"
"zsh","","No","No","?","Yes","No","No","No","Yes","No"
"ash","via","No","No","?","Yes","No","No","No","Yes","No"
"CCP","No","No","No","No","No","No","No","No","No","No"
"COMMAND.COM","Partial (only under DR-DOS, prompts for password if file/directory is protected)","No","No","Partial (only under DR-DOS via  syntax)","Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)","No","No","No","No","No"
"OS/2 CMD.EXE","No","No","No","No","No","No","No","No","No","No"
"Windows CMD.EXE","No","No","No","No","No","No","No","No","No","No"
"4DOS","Yes (via  or )","No","No","Partial (only under DR-DOS via  syntax)","Partial (only under DR-DOS, if files are password-protected for read and/or execute permission)","No","No","No","No","No"
"4OS2","?","No","No","No","No","No","No","No","No","No"
"TCC (formerly 4NT)","Yes (via ,  or )","No","No","No","No","Yes (via NTFS  config setting)","No","No","No","No"
"Windows PowerShell","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"rc","via","No","No","?","Yes","No","No","No","Yes","No"
"BeanShell","?","?","?","?","?","?","?","?","?","?"
"VMS DCL","?","No","No","?","No","No","No","No","No","No"
"fish","","No","No","?","Yes","No","No","No","Yes (via )","?"
