"Name","AccuRev","Alienbrain","BitKeeper","CA Software Change Manager","ClearCase","CMVC","CVS","Darcs","Dimensions","Git","GNU arch","GNU Bazaar","Integrity","Mercurial","Perforce","Plastic","PVCS","Sourceanywhere","StarTeam","Subversion","Surround","Synergy","Team Concert","Team Foundation Server","Vault","Visual SourceSafe","Others"
"AnthillPro","Yes","No","No","Yes","Yes","No","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","File system"
"Apache Continuum","No","No","No","No","Yes","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes",""
"Apache Gump","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"AppVeyor CI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No",""
"AutoDE","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",""
"Automated Build Studio","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","Yes","Yes","No","No","No","No","No","No",""
"Bamboo","Yes","No","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","Yes","No","No",""
"BuildBot","No","No","No","No","No","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","No","No",""
"Build Forge","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No",""
"BuildMaster","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","Yes","File system"
"CABIE","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No",""
"CircleCI","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"node.ci","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Codeship","No","No","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"Continua CI","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","Yes","No","File system"
"continuousphp","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No",""
"CruiseControl","No","No","No","No","Yes","No","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","Yes","No","Yes",""
"CruiseControl.NET","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","File system, FTP, Robocopy"
"Draco.NET","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes",""
"Drone.io","No","No","No","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No",""
