"Desktop publishing software","Developer(s)","Latest stable version","Initial release","License"
"CorelDRAW","Corel","X7 (17.0) (March 27, 2014; 14 months ago)","1989","Commercial, proprietary"
"Fatpaint (Cloud-based)","Mersica Inc.","1.98 (August 19, 2011; 3 years ago)","2010","Freeware"
"FrameMaker","Adobe Systems","12.0.3 (September 25, 2014; 8 months ago)","1986","Commercial, proprietary"
"InDesign","Adobe Systems","CC 2014 (10.0.0.70) (June 18, 2014; 11 months ago)","1999","Commercial, proprietary"
"InPage","InPage Team","3.0 (2008; 7 years ago)","1994","Commercial, proprietary"
"iStudio Publisher","iStudio Software","1.1.4 (June 15, 2010; 4 years ago)","2009","Commercial, proprietary"
"LyX","The LyX Team","2.1.2.2 (November 17, 2014; 6 months ago)","1995","GPL"
"Microsoft Publisher","Microsoft Corporation","15.0 (January 29, 2013; 2 years ago)","1991","Trialware"
"Apache OpenOffice Writer","Apache Software Foundation and others","4.1.1 (August 21, 2014; 9 months ago)","2002","Apache License 2.0 (Apache OpenOffice 3.4 and later)"
"LibreOffice","The Document Foundation",";""Fresh"" version
4.4.3 (May 7, 2015; 35 days ago





 ) 

""Still"" version
4.3.7 (April 25, 2015; 47 days ago)","2011","LGPL v3"
"PageMaker","Adobe Systems","7.0.2 (March 30, 2004; 11 years ago)","1985","Commercial, proprietary"
"PagePlus","Serif Europe","X7 (July 15, 2013; 22 months ago)","1991","Commercial, proprietary"
"Pages","Apple Inc.","5.5.3 (April 21, 2015; 51 days ago)","2005","Commercial, proprietary"
"PageStream","Grasshopper LLC","5.0 (2005; 10 years ago)","1986","Commercial, proprietary"
"QuarkXPress","Quark, Inc.","10.0 (September 16, 2013; 20 months ago)","1987","Commercial, proprietary"
"RagTime","RagTime GmbH","6.5.2 (May 21, 2010; 5 years ago)","1984","Commercial, proprietary"
"Ready,Set,Go!","Diwan Software Limited","7.7.8b (September 2009; 5 years ago)","1985","Commercial, proprietary"
"Scribus","The Scribus Team","1.4.4 (May 25, 2014; 12 months ago)","2003","GPL"
"The Print Shop","Brøderbund","23.0 (2009; 6 years ago)","1984","Commercial, proprietary"
"Ventura","Corel","10.0 (2002; 13 years ago)","1986","Commercial, proprietary"
"","","","",""
