"Desktop publishing software","PDF","EPS","SVG","TeX/LaTeX","RTF","HTML","Word .doc","OOXML .docx","Other"
"CorelDRAW","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","PSD, AI, SWF, WPD"
"Fatpaint","No","No","No","No","No","No","No","No","JPG, PNG"
"FrameMaker","Yes","Yes","Yes","No","Yes","No","Yes","No","WPD"
"InDesign","Yes","Yes","No","No","Yes","No","Yes","Yes","PSD, AI, SWF, WPD, XLS"
"InPage","No","Yes","No","No","No","No","No","No","No"
"iStudio Publisher","Yes","No","No","No","No","No","No","No","PSD, AI"
"LyX","No","No","No","Yes","No","Yes","No","No","No"
"Microsoft Publisher","No","No","No","No","Yes","Yes","Yes","Yes","No"
"OpenOffice.org","Yes","Yes","No","No","Yes","Yes","Yes","Yes","PSD, WPD, XLS"
"PageMaker","Yes","Yes","No","No","Yes","No","Yes","No","No"
"PagePlus","Yes","Yes","No","No","Yes","No","Yes","Yes","No"
"Pages","No","No","No","No","Yes","No","Yes","Yes","No"
"QuarkXPress","Yes","Yes","No","No","Yes","Yes","Yes","No","PSD, AI, SWF, XLS, JPG, PNG"
"Scribus","Yes","Yes","Yes","Yes","No","Yes","Yes","No","List"
"The Print Shop","No","No","No","No","No","No","No","No","No"
"Ventura","Yes","Yes","No","No","Yes","No","Yes","No","PSD, AI, WPD"
"","","","","","","","","",""
