"Desktop publishing software","PDF","EPS","SVG","TeX/LaTeX","HTML","Other"
"CorelDRAW","Yes","Yes","Yes","No","Yes","PSD, AI, SWF, WPD"
"Fatpaint","No","No","No","No","No","JPG, PNG"
"FrameMaker","Yes","Yes","No","No","Yes","DOC, WPD"
"InDesign","Yes","Yes","No","No","Yes","EPUB, SWF, XML, RTF"
"InPage","No","Yes","No","No","No","GIF"
"iStudio Publisher","Yes","No","No","No","No","EPUB, RTF"
"LyX","Yes","No","No","Yes","Yes","PS, ODF"
"Microsoft Publisher","Yes","No","No","No","Yes","No"
"OpenOffice.org","Yes","Yes","Yes","No","Yes","RTF"
"PageMaker","with Distiller","Yes","No","No","No","No"
"PagePlus","Yes","Yes","No","No","Yes","No"
"Pages","Yes","No","No","No","Yes","EPUB, RTF"
"QuarkXPress","Yes","Yes","No","No","Yes","EPUB"
"Scribus","Yes","Yes","Yes","Yes","Yes","List"
"The Print Shop","Yes","No","No","No","No","No"
"Ventura","Yes","Yes","No","No","No","RTF, PSD, AI, WPD"
"","","","","","",""
