"Name","Windows NT-based","Pre-Windows NT","Windows Mobile/Pocket PC","FreeBSD","Linux","Mac OS X","NetBSD","OpenBSD","DragonFly BSD","Android"
"Aloaha Secure Stick","Yes","No","No","No","No","No","No","No","No",""
"BestCrypt Volume Encryption","Yes","Yes","No","No","No","Yes","No","No","No",""
"BitArmor DataControl","Yes","No","No","No","No","No","No","No","No",""
"BitLocker Drive Encryption","Yes","No","No","No","Partial","Partial","No","No","No","No"
"Bloombase Keyparc","Yes","Yes","No","No","Yes","Yes","No","No","No",""
"CenterTools DriveLock","Yes","No","No","No","No","No","No","No","No",""
"CGD","No","No","No","No","No","No","Yes","No","No",""
"Check Point Full Disk Encryption","Yes","No","Yes","No","Yes","Yes","No","No","No",""
"CipherShed","Yes","No","No","No","Yes","Yes","No","No","No","Yes"
"CrossCrypt","No","No","No","No","No","No","No","No","No",""
"Cryptainer","Yes","No","Yes","No","No","No","No","No","No",""
"CryptArchiver","Yes","No","No","No","No","No","No","No","No",""
"cryptoloop","Yes","No","No","No","Yes","No","No","No","No",""
"cryptsetup/ dmsetup","Yes","No","No","No","Yes","No","No","No","Yes",""
"Discryptor","No","No","No","No","No","No","No","No","No",""
"DiskCryptor","Yes","No","No","No","No","No","No","No","No",""
"DISK Protect","Yes","No","No","No","No","No","No","No","No",""
"dm-crypt/LUKS","Yes","No","Yes","No","Yes","No","No","No","Yes",""
"DriveCrypt","Yes","Yes","No","No","No","No","No","No","No",""
"DriveSentry GoAnywhere 2","Yes","No","No","No","No","No","No","No","No",""
"E4M","Yes","Yes","No","No","No","No","No","No","No",""
"e-Capsule Private Safe","Yes","No","No","No","No","No","No","No","No",""
"eCryptfs","No","No","No","No","Yes","No","No","No","No",""
"EgoSecure HDD Encryption","Yes","No","No","No","No","No","No","No","No",""
"encryptstick","Yes","No","No","No","Yes","Yes","No","No","No",""
"FileVault","No","No","No","No","No","Yes","No","No","No",""
"FileVault 2","No","No","No","No","Partial","Yes","No","No","No",""
"FREE CompuSec","Yes","No","No","No","No","No","No","No","No",""
"FreeOTFE","Yes","No","Yes","No","Partial","No","No","No","No","No"
"GBDE","No","No","No","Yes","No","No","No","No","No",""
"GELI","No","No","No","Yes","No","No","No","No","No",""
"Knox","No","No","No","No","No","Yes","No","No","No",""
"loop-AES","No","No","No","No","Yes","No","No","No","No",""
"McAfee Drive Encryption (SafeBoot)","Yes","Yes","Yes","No","No","Yes","No","No","No",""
"n-Crypt Pro","Yes","No","No","No","No","No","No","No","No",""
"PGPDisk","Yes","No","No","No","No","Yes","No","No","No",""
"PGP Whole Disk Encryption","Yes","No","Yes","No","Yes","Yes","No","No","No",""
"Private Disk","Yes","Yes","No","No","No","No","No","No","No",""
"ProxyCrypt","Yes","No","No","No","No","No","No","No","No",""
"R-Crypto","Yes","No","No","No","No","No","No","No","No",""
"SafeGuard Easy","Yes","No","No","No","No","No","No","No","No",""
"SafeGuard Enterprise","Yes","No","No","No","No","Yes","No","No","No",""
"SafeGuard PrivateDisk","Yes","No","No","No","No","No","No","No","No",""
"SafeHouse Professional","Yes","Yes","No","No","No","No","No","No","No",""
"Scramdisk","Yes","Yes","No","No","Yes","No","No","No","No",""
"Scramdisk 4 Linux","No","No","No","No","Yes","No","No","No","No",""
"SecuBox","No","No","Yes","No","No","No","No","No","No",""
"SecureDoc","Yes","No","No","No","Yes","Yes","No","No","No",""
"Sentry 2020","Yes","No","No","No","No","No","No","No","No",""
"softraid / RAID C","No","No","No","No","No","No","No","Yes","No",""
"SpyProof!","Yes","No","No","No","No","No","No","No","No",""
"svnd / vnconfig","No","No","No","No","No","No","No","Yes","No",""
"Symantec Endpoint Encryption","Partial","No","No","No","No","Yes","No","No","No",""
"tcplay","No","No","No","No","Yes","No","No","No","Yes","No"
"Trend Micro Endpoint Encryption","Yes","No","No","No","No","Yes","No","No","No","No"
"TrueCrypt","Yes","No","No","No","Yes","Yes","No","No","No","Yes"
"USBCrypt","Yes","No","No","No","No","No","No","No","No","No"
"VeraCrypt","Yes","No","No","No","Yes","Yes","No","No","No","No"
"","","","","","","","","","",""
