"Name","Whole disk","Partition","File","Swap space","Hibernation file"
"Aloaha Secure Stick","No","No","Yes","No","No"
"ArchiCrypt Live","Yes
(except for the boot volume)","Yes","Yes","No","No"
"BestCrypt","Yes","Yes","Yes","Yes","Yes"
"BitArmor DataControl","No","Yes","No","Yes","Yes"
"BitLocker Drive Encryption","Yes
(except for the boot volume)","Yes","Yes","Yes
(parent volume is encrypted)","Yes
(parent volume is encrypted)"
"Bloombase Keyparc","Yes","Yes","Yes","Yes","No"
"CenterTools DriveLock","Yes","Yes","Yes","Yes","Yes"
"CGD","Yes","Yes","Yes","Yes","No"
"Check Point Full Disk Encryption","Yes","Yes","Yes","Yes","Yes"
"CipherShed","Yes","Yes","Yes","Yes","only on Windows"
"CrossCrypt","No","No","Yes","No","No"
"CryptArchiver","No","No","Yes","No","No"
"cryptoloop","Yes","Yes","Yes","Yes","No"
"Cryptomill","Yes","N/A","Yes","N/A","N/A"
"DiskCryptor","Yes","Yes","No","Yes","Yes"
"dm-crypt","Yes","Yes","Yes","Yes","Yes"
"DriveCrypt","Yes","Yes","Yes","No","No"
"DriveSentry GoAnywhere 2","No","Yes","Yes","No","No"
"E4M","No","Yes","Yes","No","No"
"e-Capsule Private Safe","No","No","Yes","No","No"
"eCryptfs","No","No","Yes","No","No"
"EgoSecure HDD Encryption","Yes","Yes","Yes","Yes","Yes"
"FileVault","No","No","Yes","Yes","Yes"
"FileVault 2","Yes","Yes","No","Yes","Yes"
"FREE CompuSec","Yes","No","Yes","Yes","Yes"
"FreeOTFE","Yes
(except for the boot volume)","Yes","Yes","No","No"
"GBDE","Yes","Yes","Yes","Yes","No"
"GELI","Yes","Yes","Yes","Yes","No"
"loop-AES","Yes","Yes","Yes","Yes","Yes"
"McAfee Drive Encryption (SafeBoot)","Yes","Yes","Yes","Yes","Yes"
"n-Crypt Pro","Yes","Yes","Yes","No","No"
"PGPDisk","Yes","Yes","Yes","Yes","only on Windows"
"Private Disk","No","No","Yes","No","No"
"ProxyCrypt","Yes","Yes","Yes","No","No"
"R-Crypto","No","No","Yes","No","No"
"SafeGuard Easy","Yes","Yes","extra module","Yes","Each sector on disk is encrypted"
"SafeGuard Enterprise","Yes","Yes","Yes","Yes","Each sector on disk is encrypted"
"SafeGuard PrivateDisk","No","No","Yes","No","No"
"SafeHouse Professional","No","No","Yes","No","No"
"Scramdisk","No","Yes","Yes","No","No"
"Scramdisk 4 Linux","Yes","Yes","Yes","Yes","No"
"SecuBox","No","No","Yes","N/A","No"
"SecureDoc","Yes","Yes","Yes","Yes","Yes"
"Sentry 2020","No","No","Yes","No","No"
"softraid / RAID C","Yes","Yes","No","Yes (encrypted by default in OpenBSD)","No"
"svnd / vnconfig","?","Yes","Yes","Yes (encrypted by default in OpenBSD)","?"
"SpyProof!","No","Yes","Yes","No","No"
"Symantec Endpoint Encryption","Yes","Yes","Yes","Yes","Yes"
"Trend Micro Endpoint Encryption","Yes","Yes","Yes","Yes","Yes"
"TrueCrypt","Yes","Yes","Yes","Yes","only on Windows"
"VeraCrypt","Yes","Yes","Yes","Yes","only on Windows"
"","","","","",""
