"Name","CBC w/ predictable IVs","CBC w/ secret IVs","CBC w/ random per-sector keys","LRW","XTS"
"Aloaha Secure Stick","No","No","No","Yes","Yes"
"ArchiCrypt Live","No","No","No","Legacy support","Yes"
"BestCrypt","No","Yes","No","Yes","Yes"
"BitArmor DataControl","No","Yes","Plumb-IV","No","No"
"BitLocker Drive Encryption","No","Yes","No","No","No"
"Bloombase Keyparc","?","Yes","?","?","?"
"CGD","No","Yes","No","No","No"
"CenterTools DriveLock","?","?","?","?","?"
"Check Point Full Disk Encryption","No","No","Yes","Yes","Yes"
"CipherShed","Legacy support","No","No","Legacy support","Yes"
"CrossCrypt","Yes","No","No","No","No"
"CryptArchiver","?","?","?","?","?"
"cryptoloop","Yes","No","No","No","No"
"DiskCryptor","No","No","No","No","Yes"
"dm-crypt","Yes","Yes","No","Yes, using *-lrw-benbi","Yes, using *-xts-plain"
"DriveCrypt","?","?","?","?","?"
"DriveSentry GoAnywhere 2","?","?","?","?","?"
"E4M","?","?","?","No","No"
"e-Capsule Private Safe","?","?","?","?","?"
"eCryptfs","No","Yes","?","No","No"
"EgoSecure HDD Encryption","No","Yes","No","No","No"
"FileVault","Yes","No","No","No","No"
"FileVault 2","No","No","No","No","Yes"
"FREE CompuSec","Yes","No","No","No","No"
"FreeOTFE","Yes","Yes","No","Yes","Yes"
"GBDE","No","No","Yes","No","No"
"GELI","No","Yes","No","No","Yes"
"loop-AES","single-key, multi-key-v2 modes","multi-key-v3 mode","No","No","No"
"McAfee Drive Encryption (SafeBoot)","No","Yes","No","No","No"
"n-Crypt Pro","?","?","No","No","No"
"PGPDisk","?","?","?","?","?"
"Private Disk","No","Yes","No","No","No"
"ProxyCrypt","No","No","No","No","Yes"
"R-Crypto","?","?","?","?","?"
"SafeGuard Easy","?","?","?","?","?"
"SafeGuard Enterprise","?","?","?","?","?"
"SafeGuard PrivateDisk","?","?","?","?","?"
"SafeHouse Professional","Yes","No","No","No","No"
"Scramdisk","No","Yes","No","No","No"
"Scramdisk 4 Linux","No","Yes","No","Yes","Yes"
"SecuBox","Yes","No","No","No","No"
"SecureDoc","?","?","?","?","?"
"Sentry 2020","?","?","?","?","?"
"softraid / RAID C","?","?","?","?","Yes"
"svnd / vnconfig","?","?","?","?","?"
"Symantec Endpoint Encryption","No","No","Yes","No","No"
"TrueCrypt","Legacy support","No","No","Legacy support","Yes"
"USBCrypt","No","Yes","No","No","Yes"
"VeraCrypt","No","No","No","No","Yes"
"","","","","",""
