"","C/C++","Java","C#","VB / VBScript","Delphi / Pascal","Ada","D","IDL",".NET","Access","Fortran"
"ApiGen","No","No","No","No","No","No","No","No","No","No","No"
"Autoduck","Yes","No","No","Yes","No","No","No","No","No","No","No"
"BI Documenter","No","No","No","No","No","No","No","No","Yes","No","No"
"classdoc","No","Yes","No","No","No","No","No","No","No","No","No"
"CppDoc","Yes","No","No","No","No","No","No","No","No","No","No"
"DB Manual","No","No","No","No","No","No","No","No","Yes","No","No"
"DBDesc","No","No","No","No","No","No","No","No","Yes","No","No"
"DBScribe","No","No","No","No","No","No","No","No","No","No","No"
"Ddoc","No","No","No","No","No","No","Yes","No","No","No","No"
"devscribe","No","No","Yes","No","No","No","No","No","No","No","No"
"Doc-O-Matic","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No"
"DOC++","Yes","Yes","No","No","No","No","No","Yes","No","No","No"
"Document! X","C++/CLI only","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","No"
"Doxygen","Yes","Yes","Yes","with Plugin","with Plugin","No","Partial","Yes","No","No","Yes"
"Epydoc","No","No","No","No","No","No","No","No","No","No","No"
"ForgeDoc","No","No","No","No","No","No","No","No","Yes","No","No"
"fpdoc","No","No","No","No","Yes","No","No","No","No","No","No"
"GenHelp","Yes","No","Yes","No","Yes","No","No","No","Yes","No","No"
"Haddock","No","No","No","No","No","No","No","No","No","No","No"
"HeaderDoc","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No"
"Help Generator","Yes","No","Yes","Yes","No","No","No","No","Yes","Yes","No"
"HyperSQL","No","No","No","No","No","No","No","No","No","No","No"
"Imagix 4D","Yes","Yes","No","No","No","No","No","No","No","No","No"
"Javadoc","No","Yes","No","No","No","No","No","No","No","No","No"
"jGrouseDoc","No","No","No","No","No","No","No","No","No","No","No"
"JSDoc","No","No","No","No","No","No","No","No","No","No","No"
"JsDoc Toolkit","No","No","No","No","No","No","No","No","No","No","No"
"KDOC","Yes","No","No","No","No","No","No","Yes","No","No","No"
"Natural Docs","Partial","Partial","Yes","Partial","Partial","Partial","No","No","No","No","Partial"
"NDoc","No","No","Yes","No","No","No","No","No","Yes","No","No"
"phpDocumentor","No","No","No","No","No","No","No","No","No","No","No"
"phpSimpleDoc","No","No","No","No","No","No","No","No","No","No","No"
"Project Analyzer","No","No","No","Yes","No","No","No","No","Yes","No","No"
"RDoc","Partial","No","No","No","No","No","No","No","No","No","No"
"ROBODoc","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Sphinx","Yes","No","No","No","No","with Plugin","No","No","No","No","No"
"ThimbleDoc","No","No","No","No","No","No","No","No","No","",""
"TwinText","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","No","Yes"
"Universal Report","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"VBDOX","No","No","No","Yes","No","No","No","No","No","No","No"
"VBSdoc","No","No","No","Yes","No","No","No","No","No","No","No"
"VSdocman","No","No","Yes","Yes","No","No","No","No","Yes","No","No"
"YARD","No","No","No","No","No","No","No","No","No","No","No"
"","C/C++","Java","C#","VB / VBScript","Delphi / Pascal","Ada","D","IDL",".NET","Access","Fortran"
