"","AppleScript","MIG","Bourne shell","C shell","Any With Comments"
"ApiGen","No","No","No","No","No"
"Autoduck","No","No","No","No","No"
"BI Documenter","No","No","No","No","No"
"classdoc","No","No","No","No","No"
"CppDoc","No","No","No","No","No"
"DB Manual","No","No","No","No","No"
"DBDesc","No","No","No","No","No"
"DBScribe","No","No","No","No","No"
"Ddoc","No","No","No","No","No"
"devscribe","No","No","No","No","No"
"Doc-O-Matic","No","No","No","No","Yes"
"DOC++","No","No","No","No","No"
"Document! X","No","No","No","No","No"
"Doxygen","No","No","No","No","No"
"Epydoc","No","No","No","No","No"
"ForgeDoc","No","No","No","No","No"
"fpdoc","No","No","No","No","No"
"GenHelp","No","No","No","No","No"
"Haddock","No","No","No","No","No"
"HeaderDoc","Yes","Yes","Yes","Yes","No"
"Help Generator","No","No","No","No","No"
"HyperSQL","No","No","No","No","No"
"Imagix 4D","No","No","No","No","No"
"Javadoc","No","No","No","No","No"
"jGrouseDoc","No","No","No","No","No"
"JSDoc","No","No","No","No","No"
"JsDoc Toolkit","No","No","No","No","No"
"KDOC","No","No","No","No","No"
"Natural Docs","No","No","No","No","Yes"
"NDoc","No","No","No","No","No"
"phpDocumentor","No","No","No","No","No"
"phpSimpleDoc","No","No","No","No","No"
"Project Analyzer","No","No","No","No","No"
"RDoc","No","No","No","No","No"
"ROBODoc","No","No","No","No","Yes"
"Sphinx","No","No","No","No","No"
"ThimbleDoc","No","No","No","No","No"
"TwinText","No","No","No","No","Yes"
"Universal Report","No","No","No","No","Yes"
"VBDOX","No","No","No","No","No"
"VBSdoc","No","No","No","No","No"
"VSdocman","No","No","No","No","No"
"YARD","No","No","No","No","No"
"","AppleScript","MIG","Bourne shell","C shell","Any With Comments"
