"","Text","Binary"
"ApiGen","Yes","No"
"Autoduck","Yes","No"
"BI Documenter","No","Yes"
"DB Manual","No","Yes"
"classdoc","No","Yes"
"CppDoc","Yes","No"
"DBDesc","No","Yes"
"DBScribe","No","Yes"
"Ddoc","Yes","No"
"devscribe","No","Yes"
"Doc-O-Matic","Yes","No"
"DOC++","Yes","No (except Java class files)"
"Document! X","Yes","Yes"
"Doxygen","Yes","No"
"Epydoc","Yes","No"
"ForgeDoc","No","Yes"
"fpdoc","Yes","No"
"GenHelp","Yes","No"
"Haddock","Yes","No"
"HeaderDoc","Yes","No"
"Help Generator","Yes","Yes"
"HyperSQL","Yes","No"
"IDLdoc","Yes","No (except for .sav files)"
"Imagix 4D","Yes","No"
"Javadoc","Yes","No"
"jGrouseDoc","Yes","No"
"JSDoc","Yes","No"
"JsDoc Toolkit","Yes","No"
"KDOC","Yes","No"
"mkd","Yes","No"
"Natural Docs","Yes","No"
"NDoc","No","Yes"
"perldoc","Yes","No"
"phpDocumentor","Yes","No"
"phpSimpleDoc","Yes","No"
"Project Analyzer","Yes","Yes"
"RDoc","Yes","No"
"ROBODoc","Yes","No"
"Sphinx","Yes","No"
"TwinText","Yes","Yes"
"Universal Report","Yes","No"
"VBDOX","Yes","No"
"VBSdoc","Yes","No"
"VSdocman","Yes","No"
"YARD","Yes","No"
"","Text","Binary"
