"Manager","HTTP","HTTPS","FTP","SFTP","MMS","RTSP","Metalink","Magnet link","Podcast","RTMP","BitTorrent","eDonkey"
"4K Video Downloader","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"BitComet","Yes","?","Yes","?","?","?","?","Yes","?","?","Yes","Yes"
"Download Accelerator Manager","Yes","Yes","Yes","?","?","?","?","?","?","?","No","?"
"Download Accelerator Plus","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Express","?","?","?","?","?","?","?","?","?","?","?","?"
"DownloadStudio","?","?","?","?","?","?","?","?","?","?","?","?"
"DownThemAll!","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No"
"EagleGet","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No"
"FlashGet","Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Folx","?","?","?","?","?","?","?","?","?","?","?","?"
"Free Download Manager","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No"
"Freemake Video Downloader","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"Free Studio","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"FreshDownload","Yes","?","Yes","?","?","?","?","?","?","?","No","?"
"GetRight","Yes","Yes","Yes","No","No","No","Yes","?","Yes","No","Yes","No"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?"
"Internet Download Accelerator","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No"
"Internet Download Manager","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No"
"JDownloader","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No"
"Jigdo","Yes","?","Yes","?","No","No","No","No","No","No","No","No"
"KGet","Yes","Yes","Yes","Yes","Yes","No","Yes","?","No","No","Yes","No"
"Maxel","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No"
"MiniDM","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"MLDonkey","Yes","?","Yes","?","No","No","No","?","No","No","Yes","Yes"
"Net Transport","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"Orbit Downloader","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
"Shareaza","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes"
"Tmib video downloader","Yes","Yes","No","No","No","No","No","No","No","Yes","No","No"
"uGet","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No"
"wxDownload Fast","Yes","No","Yes","No","No","No","Yes","No","No","No","No","No"
"","","","","","","","","","","","",""
