"Manager","Web browser integration","Resuming","Download acceleration","URL per file","Mirror search","Auto dial/hangup","Categorized downloads","Cookies import","Speed limit","File browser","ZIP preview","Add-on support","Scheduler","Checksum verification","Remote Access/Control","Modified Time-stamp preserved"
"4K Video Downloader","No","Yes","Yes","?","No","No","No","No","No","Yes","No","No","No","No","No","?"
"BitComet","Yes","Yes","Yes","?","Yes","?","Yes","?","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes"
"Download Accelerator Manager","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Accelerator Plus","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Download Express","Yes","Yes","Yes","1","No","Advanced mode","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?","?"
"DownloadStudio","Yes","Yes","Yes","1","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","No","?","?"
"DownThemAll!","Requires Firefox","Yes","Yes","10","Beta","No","Yes","No","Beta","No","No","No","No","Yes","No","Yes"
"EagleGet","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","No","No","?","Yes","?","No","?"
"FlashGet","Yes","Yes","Yes","1","Yes","Yes","Yes","Yes","All downloads","Yes","No","Yes","N/A","No","No","?"
"Folx","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Free Download Manager","Yes","Yes","Yes","?","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Freemake Video Downloader","for Firefox and Chrome","Yes","Yes","?","No","No","No","No","No","No","No","No","No","No","No","?"
"Free Studio","Yes","Yes","Yes","unlimited","No","No","No","No","No","No","No","No","No","No","No","?"
"FreshDownload","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GetRight","Yes","Yes","10 streams, needs mirrors for >4 streams","unlimited","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Scripting","Yes","Yes","Yes","Yes"
"Go!Zilla","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Internet Download Accelerator","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","?"
"Internet Download Manager","Yes","Yes","Yes","?","No","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","No","Yes"
"JDownloader","Yes","Yes","Yes","1","No","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","?"
"Jigdo","No","Yes","?","unlimited","?","No","No","No","No","No","No","?","No","Yes","No","?"
"KGet","Konqueror, Fx (via Flashgot plugin)","Yes","Yes","unlimited","Yes","Yes","Yes","Yes","BitTorrent Only","Yes","No","Yes","?","Yes","Yes","?"
"Maxel","Yes","Yes","Yes","1","No","No","No","No","No","No","No","Yes","Yes","Yes","No","No"
"MiniDM","Yes","Yes","Yes","unlimited","No","No","No","No","No","Yes","No","Yes","?","Yes","Yes","?"
"MLDonkey","Partial","Yes","No","unlimited","No","No","Yes","No","Yes","No","No","Yes","?","Yes","Yes","?"
"Net Transport","Yes","Yes","Yes","10","?","?","Yes","?","All downloads","?","?","?","?","Yes","No","?"
"Orbit Downloader","Yes","Yes","Yes","60","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Shareaza","IE; Fx and similar: ext. plugin","Yes","Yes","unlimited","Yes","via Scheduler","Yes","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Tmib video downloader","for Firefox and Chrome","No","Yes","?","Yes","No","No","No","No","No","don't download videos in zip","No","No","No","No","?"
"uGet","Firefox (via FlashGot); Chrome & Opera in development","Yes","Yes","unlimited","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","?","No","?"
"wxDownload Fast","Firefox Only","Yes","Yes","1-9","No","Yes","No","No","Yes","Yes","Yes","Yes","?","Yes","Yes","?"
"Manager","Web browser integration","Resuming","Download acceleration","URL per file","Mirror search","Auto dial/hangup","Categorized downloads","Cookies import","Speed limit","File browser","ZIP preview","Add-on support","Scheduler","Checksum verification","Remote Access/Control","Modified Time-stamp preserved"
