"Maker","Model","Intro year","Screen size (inch)","Self-lit","Screen type","Weight","Screen pixels","PPI","Touch screen","Button for Page-turn","Wireless network","Text-to-speech","Folders","Internal storage","micro
SDHC","Web browser","Library DRM compatible","USB peripherals"
"Amazon.com","Kindle Voyage Wi-Fi","2014","6","Yes","eInk Carta","180 g (6.3 oz)","1080 x 1430","299","2-Point","Dedicated, both sides","Wi-Fi","No","Yes","4 GB
(3.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Paperwhite 3G (2nd generation)","2013","6","Yes","eInk Carta","215 g (7.6 oz)","758 × 1024","212","2-Point","No","Wi-Fi,
CDMA, GSM","No","Yes","2 GB
(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle Paperwhite Wi-Fi (2nd generation)","2013","6","Yes","eInk Carta","206 g (7.3 oz)","758 × 1024","212","2-Point","No","Wi-Fi","No","Yes","2 GB
(1.25 GB)","No","Yes","US only","No"
"Amazon.com","Kindle (5th generation)","2012","6","No","eInk Pearl","170 g (5.98 oz)","600 × 800","167","No","dedicated, both sides","Wi-Fi","No","Yes","2 GB
(1.25 GB)","No","Yes","US only","No"
"Barnes & Noble","Nook Simple Touch with GlowLight","2012","6","Yes","eInk Pearl","212 g (7.5 oz)","600 × 800","167","Yes","Yes","Wi-Fi","No","Yes","2 GB","Yes","No","Yes","No"
"Barnes & Noble","Nook GlowLight","2013","6","Yes","eInk Pearl","175 g (6.2 oz)","758 × 1024","212","Yes","No","Wi-Fi","No","Yes","4 GB
(2.5 GB usable)
(512 MB for user content)","No","Yes","Yes","Yes"
"Bookeen","Cybook Odyssey HD FrontLight","2012","6","Yes","eInk Pearl + HSIS","212 g (7.5 oz)","758 × 1024","212","Yes","dedicated","Wi-Fi (n)","No","Yes","2 GB","Yes","Yes","Yes","No"
"Bookeen","Cybook Odyssey","2013","6","No","eInk Pearl + HSIS","180 g (6.35 oz)","600 × 800","167","Yes","Unknown","Wi-Fi (n)","No","Yes","2 GB","Yes","Yes","Yes","No"
"Bookeen","Cybook Orizon","2010","6","No","SiPix","245 g (8.6 oz)","600 × 800","167","Yes","Yes","Wi-Fi (n),
Bluetooth 2.1+EDR","No","Yes","2 GB","Yes","Yes","Yes","No"
"Boyue","T62+","2015","6","Yes","Carta FrontLight","222 g (7.83 oz)","758 × 1024","212","Yes","Yes","Wi-Fi (n)","Yes*","Yes","8 GB","Yes","Yes","Yes","Yes"
"Deutsche Telekom","tolino shine","2013","6","Yes","eInk Pearl","183 g (6.5 oz)","758 × 1024","212","Yes","No","Wi-Fi","No","Yes","4 GB (2 GB)","Yes","Yes","Yes","No"
"Deutsche Telekom","tolino vision","2014","6","Yes","eInk Carta","178 g","758 × 1024","212","Yes","No","Wi-Fi","No","Yes","2 GB","Yes","Yes","Yes","No"
"bq","Movistar ebook","2011","6","No","AUO + SiPix","244 g (8.6 oz)","600 × 800","167","Yes","Unknown","Wi-Fi","Unknown","Unknown","2 GB","up to
16 GB","Yes","Yes","No"
"Various private labels","Generic 6"" touchscreen","varies","6","No","eInk","240 g (8.5 oz)","600 × 800","167","Yes","Unknown","Wi-Fi","Yes*","Yes","2 GB","SDHC","Yes","Unknown","No"
"Ectaco","JetBook Color","2012","9.7","No","Triton 
Color E Ink","662 g (23.4 oz)","1200 × 1600","206","Yes","Unknown","Yes","Yes","Yes","Yes (unknown size)","up to
32GB","No","Yes, OPDS, Atom","Yes"
"Elonex","621EB","2009","6","No","eInk","180 g (6.3 oz)","600 × 800","167","No","Unknown","No","No","No","1 GB","Yes","No","Yes","No"
"Icarus Reader","Icarus Excel","2012","9.7","No","eInk Pearl","530 g (19 oz)","825 × 1200","150","No","Yes","Wi-Fi","Yes","Unknown","4 GB","Yes","Yes","Unknown","Unknown"
"Icarus Reader","Icarus 8","2013","8","No","ePaper","300 g (10.5 oz)","768 × 1024","160","No","Unknown","Wi-Fi","Unknown","Yes","4 GB","Yes","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Essence","2013","6","No","ePaper","220 g (7.8 oz)","600 x 800","167","No","Unknown","Wi-Fi","Unknown","Yes","4 GB","Yes","Unknown","Yes","Unknown"
"Icarus Reader","Icarus Sense G2","2011","6","No","eInk","220 g (7.8 oz)","600 × 800","167","Yes","Unknown","Wi-Fi","No","Yes","2 GB
(1.3 GB)","Yes","Yes","Yes","Unknown"
"Iriver","Iriver Story HD","2011","6","No","eInk Pearl","207 g (7.3 oz)","768 × 1024","213","No","Yes","Wi-Fi","No","Yes","2 GB","SDHC","No","Yes","Yes"
"JinKe","Hanlin V5","2009","5","No","eInk","160 g (5.6 oz)","600 × 800","200","No","Unknown","No","Yes","Unknown","512 MB","SDHC
16GB","No","Unknown","Unknown"
"Kobo Inc.","Kobo Aura H2O","2014","6.8","Yes","eInk Carta","233 g (8.2 oz)","1080 × 1430","265","Yes","No","Wi-Fi","No","shelves","4 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Aura HD","2013","6.8","Yes","eInk Pearl","240 g (8.5 oz)","1080 × 1440","265","Yes","No","Wi-Fi","No","shelves","4 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Aura","2013","6","Yes","eInk Pearl with Low-Flash Waveform","174 g (6.1 oz)","758 x 1024","212","Yes","No","Wi-Fi","No","shelves","4 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Glo","2012","6","Yes","eInk Pearl","185 g (6.5 oz)","758 × 1024","212","Yes","No","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kobo Inc.","Kobo Mini","2012","5","No","eInk Vizplex V110","134 g (4.7 oz)","600 × 800","200","Yes","No","Wi-Fi","No","shelves","2 GB","No","Yes","Yes","Yes"
"Kobo Inc.","Kobo Touch","2011","6","No","eInk Pearl","200 g (7.1 oz)","600 × 800","167","Yes","No","Wi-Fi","No","shelves","2 GB","Yes","Yes","Yes","Yes"
"Kolporter","eClicto","2007","6","No","eInk","174 g (6.1 oz)","600 × 800","167","No","Unknown","No","No","Unknown","512 MB","SD","No","Unknown","Unknown"
"Onyx Inc.","BOOX C65 Storia","2013","6","No","eInk HD EPD","186 g (8.4 oz)","758 x 1024","212","Yes (Capacitive)","No","Wi-Fi","Yes","Yes","4 GB","Yes","Unknown","No","Yes"
"Onyx Inc.","BOOX C65 AfterGlow","2013","6","Yes","eInk HD EPD","186 g (8.4 oz)","758 x 1024","212","Yes (Capacitive)","No","Wi-Fi","Yes","Yes","4 GB","Yes","Unknown","No","Yes"
"Onyx Inc.","BOOX M92/92S Black Pearl","2011","9.7","No","eInk Pearl","520 g (18 oz)","825 × 1200","150","Stylus","Yes","Wi-Fi","Yes","Yes","4GB","Yes","Yes","No","Yes"
"Onyx Inc.","BOOX M96","2014","9.7","No","eInk Pearl","520 g (18 oz)","825 × 1200","150","Stylus","Yes","Wi-Fi, Bluetooth 4.0 Low Energy","Yes","Yes","4GB","up to 
32 GB SD Card","Yes","Yes","Yes"
"Onyx Inc.","BOOX T68 Lynx","2014","6.8","Yes","eInk Pearl","236 g (8.325 oz)","1080 x 1440","265","Yes (Capacitive)","Yes","Wi-Fi, Bluetooth 4.0 Low Energy","Yes","Unknown","4GB","up to 
32 GB","Yes","Yes","Unknown"
"PocketBook","PocketBook 360 Plus","2011","5","No","eInk","150 g (5.3 oz)","600 × 800","200","No","Unknown","Wi-Fi","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Pro 912","2011","9.7","No","eInk","565 g (20 oz)","825 × 1200","150","Yes","Unknown","Wi-Fi, Bluetooth","Yes","Yes","2 GB 
(1.2 GB)","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Touch","2011","6","No","eInk Pearl","195 g (6.9 oz)","600 × 800","167","Yes","Unknown","Wi-Fi (n), Bluetooth, UMTS + GPRS","Yes","Yes","2 GB","Yes","Yes","Yes","Unknown"
"PocketBook","PocketBook Basic New","2012","6","No","eInk","180 g (6.3 oz)","600 × 800","167","No","Unknown","?","?","Yes","2 GB","up to
32gb","Yes","Yes","Unknown"
"Sony","DPT-S1","2014","13.3 (A4)","No","eInk Mobius","357g
(12.6oz)","1200 x 1600","150","Yes","?","Wi-Fi b/g/n","?","?","2.8 GB","Yes","Yes","Unknown","Unknown"
"TrekStor","Pyrus","2012","6","No","Digital Ink","216 g (7.6 oz)","600 × 800","167","No","dedicated, both sides","No","No","Yes","2 or 4 GB","Yes","No","Unknown","Unknown"
"TrekStor","Pyrus 2 LED","2013","6","No","eInk Pearl","205 g (7.2 oz)","600 × 800","167","Yes","Yes","No","No","Yes","2 GB","Yes","No","Unknown","Unknown"
"TrekStor","Pyrus mini","2013","4.3","No","Digital Ink","111 g (3.9 oz)","600 × 800","233","No","dedicated","No","No","Yes","2 GB","Yes","No","Unknown","Unknown"
"txtr","beagle","2013","5","No","eInk","128 g (4.5 oz)","600 x 800","200","No","Unknown","bluetooth needed to add books.","No","No","5 books, up to 4 GB","No","No","Yes","No"
"Wexler","Flex ONE","2012","6","No","LG flex","110 g (3.9 oz)","768 x 1024","213","No","Yes","No","No","Yes","8 GB","No","No","No","Unknown"
"Maker","Model","Intro year","Screen size 
(inch)","Self-lit","Screen type","Weight","Screen pixels","PPI","Touch screen","Button for Page-turn","Wireless network","Text-to-speech","Folders","Internal storage","micro
SDHC","Web browser","Library DRM compatible","USB peripherals"
