"Maker","Model","Intro year","Screen size (inch)","Screen type","Weight","Screen pixels","Screen shades","Hours reading","Operating system","Touch screen","Wireless network","Text-to-speech","Integrated dictionary","Directory organization","Internal storage","Card reader slot","Replaceable battery","Web browser","Library DRM compatible","USB peripherals"
"Aluratek","Libre Touch eBook Reader","2011","7","LCD","199 g (7.0 oz)","480 × 800","?","8","Android 1.5","Yes","Yes, Wi-Fi","No","No","?","4 GB","microSD","No","Yes","Yes","No"
"Aluratek","Libre Air eBook Reader","2011","5","LCD","170 g (6.0 oz)","480 × 640","16 grey scale","20","Linux + X11","No","Yes, Wi-Fi","No","No","?","512 MB","microSD","No","No","Yes","No"
"Aluratek","Libre Color eBook Reader","2010","7","LCD","245 g (8.6 oz)","480 × 800","?","24","MicroC/OS-II","No","No","No","No","?","2 GB","SD","No","No","Yes","No"
"Aluratek","Libre Pro eBook Reader","2009","5","LCD","190 g (6.7 oz)","480 × 640","16 grey scale","24","Linux + X11","No","No","No","No","?","256 MB","SD","No","No","Yes","No"
"Amazon.com","Kindle Fire","2011","7","LCD(IPS)","413 g (14.6 oz)","600 × 1024","24-bit color","8","Android 2.3","Yes","Wi-Fi","No","Yes","?","8 GB
(6 GB)","No","No","Yes","Yes (US only)","No"
"Apple Inc.","iPad","2010","9.7","LCD","601 g (21.2 oz)","768 × 1024","24-bit color","9","iOS","Yes","Wi-Fi","Yes","iBooks & system-wide dictionary with iOS 5","Yes","16-64 GB","SD via Camera Connection Kit","No","Yes","?","Yes"
"Barnes & Noble","Nook Color","2010","7","LCD","450 g (16 oz)","600 × 1024","16M","8","Android 2.2","Yes","Wi-Fi 802.11b/g/n","for B&N Kids Books","Yes","Yes","2 GB, 1 GB available","microSDHC","No","Yes","Yes","?"
"Ectaco","jetBook","2008","5","LCD","212 g (7.5 oz)","480 × 640","16","20","Linux","No","No","No","Yes","Yes","112 MB","SDHC","No","No","Yes","No"
"Elonex","705EB","2010","7","LCD","190 g (6.7 oz)","480 × 800","256?","8","?","No","No","?","No","?","4 GB","microSDHC","?","No","?","No"
"Notion Ink","Adam","2011","10.1","Pixel Qi","725 g (25.6 oz)","600 × 1024","?","15","Android","Yes","Wi-Fi, 3G","Yes","?","?","1GB DDR2 RAM
1GB SLC","microSD","Yes","Yes","?","?"
"PocketBook","PocketBook IQ 701","2010","7","LCD","516 g (18.2 oz)","600 × 800","262K color","8","Android 2.0","Yes","Wi-Fi","Yes","Yes","Yes","2 GB","SDHC","Yes","Yes","Yes","No"
"TrekStor","eBook Reader 3.0","2011","7","LCD","275 g (9.7 oz)","800 × 480","?","8","MicroC/OS-II","No","No","No","No","Yes","2 GB","microSDHC","No","No","Yes","No"
"Zzbook","eReader HD","2010","7","TFT-LCD","300 g (11 oz)","800 × 480","16","8","Linux","No","No","?","?","?","2 GB","microSD","?","?","?","?"
"","","","","","","","","","","","","","","","","","","","",""
