"Name","Bootable","Encryption Type","Certification","Managed","Interface","Max Capacity","Included Software","Other Features"
"SafeStick","No","AES 256-bit CBC Hardware Encryption","CESG CCTM,  FIPS 140-2","Optional (with SafeConsole)","USB 2.0","128GB","","Inactivity lock"
"SafeStick SuperSonic","No","AES 256-bit CBC Hardware Encryption","CESG CCTM,  FIPS 140-2","Optional (with SafeConsole)","USB 2.0","8GB","","High transfer speeds, Inactivity lock"
"IronKey S100","No","AES 128-bit CBC Hardware Encryption","FIPS 140-2 Level 2","Enterprise Model only","USB 2.0","16GB","Identity Manager; Secure Sessions",""
"IronKey S200","No","AES 256-bit CBC Hardware Encryption","FIPS 140-2 Level 3","Enterprise Model only","USB 2.0","16GB","Identity Manager; Secure Sessions",""
"IronKey D200","No","AES 256-bit CBC Hardware Encryption","FIPS 140-2 Level 3","Enterprise Model only","USB 2.0","32GB","Identity Manager; Secure Sessions",""
"CryptX2","Yes","AES 256-bit CBC Hardware Encryption","No","No","USB 2.0","64GB / Future Support for 4TB","No Software Required","ID Verify, Panic Mode, Upgradeable Firmware"
"DataTraveler 5000","No","AES 256-bit XTS Hardware Encryption","FIPS 140-2 Level 2","No","USB 2.0","16GB","","Water resistant"
"DataTraveler Locker+","No","Hardware Encryption","No","No","USB 2.0","32GB","No",""
"DataTraveler Vault","No","AES 256-bit Hardware Encryption","No","No","USB 2.0","32GB","DTVaultLock","Second unsecured partition"
"DataTraveler Vault – Privacy Edition","No","AES 256-bit Hardware Encryption","No","","USB 2.0","32GB","","Waterproof to 4'"
"JumpDrive SecureII Plus","No","Hardware","FIPS 140-2 ?","","USB 2.0","","",""
"IronClad","Yes","AES 256-bit CBC Hardware Encryption","FIPS 140-2 Level 3","Yes","USB 2.0","16GB","",""
"Cruzer Enterprise","No","Hardware","FIPS 140-2 ?","Yes","USB 2.0","","",""
"Store 'n' Go Corporate","No","Hardware","FIPS 140-2 ?","","USB 2.0","","",""
"","","","","","","","",""
