"","Windows","DOS","Mac OS X","Linux","BSD","Other Unix","AmigaOS","Android","Windows Mobile","Windows Phone"
"7-Zip","Yes","Command-line interface","Yes","Yes","Command-line interface","Command-line interface","Command-line interface","No","Yes","No"
"ALZip","Yes","Command-line interface","No","No","No","No","No","No","No","No"
"ALZip for Mac","No","No","Yes","No","No","No","No","No","No","No"
"Archive Utility","No","No","Yes","No","No","No","No","No","No","No"
"Ark","No","No","No","Yes","Yes","Yes","No","No","No","No"
"B1 Free Archiver","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No"
"BetterZip","No","No","Yes","No","No","No","No","No","No","No"
"Bitser","Yes","No","No","No","No","No","No","No","No","No"
"bsdtar/libarchive","Yes","No","Yes","Yes","Yes","Yes","Partial","Unknown","Unknown","No"
"Disk ARchiver","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No"
"File Roller","No","No","No","Yes","Yes","Yes","No","No","No","No"
"Filzip","Yes","No","No","No","No","No","No","No","No","No"
"FreeArc","Yes","No","No","Yes","Yes","Yes","No","No","No","No"
"GNU tar","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"iArchiver","No","No","Yes","No","No","No","No","Unknown","Unknown","?"
"Info-ZIP","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"IZArc","Yes","No","No","No","No","No","No","No","No","No"
"KGB Archiver","Yes","Partial","Command-line interface","Yes","No","No","No","Unknown","Unknown","?"
"PeaZip","Yes","Unknown","Under Development","Yes","Yes","No","No","Unknown","Unknown","?"
"PKZIP","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","Unknown","?"
"PowerArchiver","Yes","Unknown","Command-line interface","No","No","No","No","Unknown","Unknown","?"
"Star","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","?"
"StuffIt","Yes","Unknown","Yes","X86 only, older version (5.2.0?)","No","older version (5.2.0?)","No","Unknown","Unknown","?"
"The Unarchiver","Command-line interface","No","Yes","Command-line interface","No","No","No","Unknown","No","?"
"TUGZip","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"WinAce","Yes","Command-line interface","Command-line interface expander only","X86, Command-line interface expander only","No","No","Command-line interface expander only","Unknown","Unknown","?"
"WinRAR","Yes","Yes","Command-line interface","X86 and x86-64, Command-line interface","Command-line interface","Command-line interface","Command-line interface expander only","Yes","Yes","?"
"WinZip","Yes","Command-line interface","Yes","No","No","No","Yes","Yes","Unknown","?"
"XAD","No","No","No","Yes","Yes","Yes","Yes","Unknown","Unknown","?"
"Xarchiver","No","No","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","?"
"ZipGenius","Yes","Unknown","No","No","No","No","No","Unknown","Unknown","?"
"","Windows","DOS","Mac OS X","Linux","BSD","Unix","AmigaOS","Android","Windows Mobile","Windows Phone"
