"File manager","File name / content search","Basic metadata search","All metadata search","RegExp","Boolean (nesting levels)","Fuzzy logic","Save searches","Refined searches"
"Altap Salamander","Yes","Yes","?","Yes","Yes","?","Yes","Yes"
"Directory Opus","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dired","Yes","No","No","Yes","Yes","Yes","No","No"
"Disk Order","Yes","?","?","?","?","?","?","?"
"Dolphin","Yes","Yes","Yes","Yes","Yes","?","?","Yes"
"Double Commander","Yes","Yes","Yes","Yes","Yes","?","?","?"
"emelFM2","Yes","Yes","Yes","?","?","?","Partial","?"
"FAR Manager","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"File Commander","Yes","Yes","No","No","Yes","No","Yes","No"
"Finder","Yes","Yes","Yes","No","?","?","Yes","?"
"Konqueror","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Krusader","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Nautilus","Yes","Partial","Partial","?","?","?","Yes","?"
"Path Finder","Yes","Yes","Yes","No","No","?","No","No"
"PCManFM","Yes","Yes","No","Yes","No","No","No","No"
"ROX-Filer","Yes","Yes","Yes","Yes","Yes","?","No","?"
"Total Commander","Yes","Yes","Yes","Yes","Yes","?","Yes","Partial"
"Windows Explorer","Yes","Yes","No","No","?","?","Yes","Yes"
"Xandros File Manager","?","?","?","?","?","?","?","?"
"Xfe","No","No","No","No","No","No","No","No"
"Xfile","Yes","Yes","No","Yes","Yes","No","Yes","Yes"
"Xfm","?","?","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XYplorer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZTreeWin","Yes","Yes","Partial","Partial","Yes","Yes","Yes","Yes"
"","","","","","","","",""
