"File system","Creator","Year
introduced","Original operating system","License"
"DECtape","DEC","1964","PDP-6 Monitor",""
"Level-D","DEC","1968","TOPS-10",""
"George3","ICT (later ICL)","1968","George 3",""
"ODS-1","DEC","1972","RSX-11",""
"RT-11 file system","DEC","1973","RT-11",""
"DOS (GEC)","GEC","1973","Core Operating System",""
"CP/M file system","Gary Kildall","1974","CP/M",""
"V6FS","Bell Labs","1975","Version 6 Unix",""
"OS4000","GEC","1977","OS4000",""
"FAT (8-bit)","Marc McDonald, Microsoft","1977","Microsoft Standalone Disk BASIC-80",""
"DOS 3.x","Apple Computer","1978","Apple DOS",""
"Pascal","Apple Computer","1978","Apple Pascal",""
"CBM DOS","Commodore","1978","Microsoft BASIC (for CBM PET)",""
"V7FS","Bell Labs","1979","Version 7 Unix",""
"DOS 1.0","Atari Corporation","1979","Atari 8-bit family",""
"ODS-2","DEC","1979","OpenVMS",""
"FAT12","Tim Paterson, Seattle Computer Products","1980","QDOS, 86-DOS",""
"DOMAIN file system","Apollo Computer","1981","Domain/OS (Aegis, Domain)",""
"AFS","Carnegie Mellon University","1982","Multiplatform MultoOS",""
"DFS","Acorn Computers Ltd","1982","Acorn BBC Micro MOS",""
"ADFS","Acorn Computers Ltd","1983","Acorn Electron (later Arthur RISC OS)",""
"FFS","Kirk McKusick","1983","4.2BSD",""
"ProDOS","Apple Computer","1983","ProDOS 8",""
"MFS","Apple Computer","1984","Mac OS",""
"FAT16","Microsoft, IBM","1984","PC DOS 3.0/MS-DOS 3.0",""
"Elektronika BK tape format","NPO ""Scientific centre"" (now Sitronics)","1985","Vilnius Basic, BK monitor program",""
"HFS","Apple Computer","1985","Mac OS",""
"Amiga OFS","Metacomco for Commodore","1985","Amiga OS",""
"High Sierra","Ecma International","1985","MS-DOS, Mac OS",""
"NWFS","Novell","1985","NetWare 286",""
"FAT16B","Compaq","1987","Compaq MS-DOS 3.31, DR DOS 3.31",""
"MINIX V1 FS","Andrew S. Tanenbaum","1987","MINIX 1.0",""
"Amiga FFS","Commodore","1988","Amiga OS 1.3",""
"HPFS","IBM & Microsoft","1988","OS/2",""
"ISO 9660:1988","Ecma International, Microsoft","1988","MS-DOS, Mac OS, and AmigaOS",""
"JFS1","IBM","1990","AIX",""
"VxFS","VERITAS, (now Symantec)","1991","developed for Unix System Laboratories, HP-UX",""
"ext","Rémy Card","1992","Linux",""
"WAFL","NetApp","1992","Data ONTAP",""
"MINIX V2 FS","Andrew S. Tanenbaum","1992","MINIX 1.6 and 2.0",""
"AdvFS","DEC","1993","Digital Unix",""
"NTFS Version 1.0","Microsoft, Tom Miller, Gary Kimura","1993","Windows NT 3.1","proprietary"
"LFS","Margo Seltzer","1993","Berkeley Sprite",""
"ext2","Rémy Card","1993","Linux, Hurd",""
"UFS1","Kirk McKusick","1994","4.4BSD",""
"XFS","SGI","1994","IRIX",""
"HFS (Hierarchical File System)","IBM","1994","MVS/ESA (now z/OS)",""
"Rock Ridge","Young Minds Inc.","1994","Linux, Mac OS, Amiga OS, and FreeBSD",""
"Joliet (""CDFS"")","Microsoft","1995","Microsoft Windows, Linux, Mac OS, and FreeBSD",""
"PFS","Michiel Pelt","1996","AmigaOS",""
"Romeo","Adaptec","1996","Microsoft Windows",""
"UDF","ISO/ECMA/OSTA","1995","-",""
"FAT32","Microsoft","1996","Windows 95",""
"QFS","LSC Inc, Sun Microsystems","1996","Solaris",""
"IBM Spectrum Scale","IBM","1998","AIX, Linux, Windows",""
"Be File System","Be Inc., D. Giampaolo, C. Meurillon","1996","BeOS",""
"HFS Plus","Apple Computer","1998","Mac OS 8.1",""
"NSS","Novell","1998","NetWare 5",""
"PolyServe File System (PSFS)","PolyServe","1998","Windows, Linux",""
"ODS-5","DEC","1998","OpenVMS 7.2",""
"SFS","John Hendrikx","1998","AmigaOS, AROS, MorphOS",""
"ext3","Stephen Tweedie","1999","Linux",""
"ISO 9660:1999","Ecma International, Microsoft","1999","Microsoft Windows, Linux, Mac OS X, FreeBSD, and AmigaOS",""
"JFS","IBM","1999","OS/2 Warp Server for e-business",""
"GFS","Sistina (Red Hat)","2000","Linux",""
"Melio FS","Sanbolic","2001","Windows",""
"NTFS Version 3.1","Microsoft","2001","Windows XP","proprietary"
"ReiserFS","Namesys","2001","Linux",""
"zFS","IBM","2001","z/OS (backported to OS/390)",""
"FATX","Microsoft","2002","Xbox",""
"UFS2","Kirk McKusick","2002","FreeBSD 5.0",""
"Lustre","Cluster File Systems (later Oracle Corporation)","2002","Linux",""
"OCFS","Oracle Corporation","2002","Linux",""
"VMFS2","VMware","2002","VMware ESX Server 2.0",""
"ext3cow","Zachary Peterson","2003","Linux",""
"Fossil","Bell Labs","2003","Plan 9 from Bell Labs, 4th Edition","LPL"
"Google File System","Google","2003","Linux",""
"PramFS","MontaVista","2003","Linux",""
"Reliance","Datalight","2003","Windows CE, VxWorks, custom ports",""
"VxCFS","VERITAS, (now Symantec)","2004","AIX, HP-UX, Solaris, Linux",""
"ZFS","Sun Microsystems","2004","Solaris","CDDL"
"Reiser4","Namesys","2004","Linux",""
"Non-Volatile File System","Palm, Inc.","2004","Palm OS Garnet",""
"MINIX V3 FS","Andrew S. Tanenbaum","2005","MINIX 3",""
"OCFS2","Oracle Corporation","2005","Linux",""
"NILFS","NTT","2005","Linux",""
"VMFS3","VMware","2005","VMware ESX Server 3.0",""
"GFS2","Red Hat","2006","Linux",""
"ext4","Various","2006","Linux",""
"exFAT","Microsoft","2006, 2009","Windows CE 6.0, Windows XP SP3, Windows Vista SP1","proprietary"
"TexFAT/TFAT","Microsoft","2006","Windows CE 6.0",""
"Btrfs","Oracle Corporation","2007","Linux","GPL"
"Ceph","Sage Weil, Inktank Storage, Red Hat","2007, 2012","Linux",""
"WBFS","kwiirk and Waninkoko (Wii homebrew)","2008","Nintendo WII",""
"HAMMER","Matthew Dillon","2008","DragonFly BSD",""
"Tux3","Various","2008","Linux",""
"UBIFS","Nokia with help of University of Szeged","2008","Linux",""
"Oracle ACFS","Oracle Corporation","2009","Linux - Red Hat Enterprise Linux 5 and Oracle Enterprise Linux 5 only",""
"Reliance Nitro","Datalight","2009","Windows CE, Windows Mobile, VxWorks, Linux, custom ports","proprietary"
"LTFS","IBM","2010","Linux, Mac OS X, planned Microsoft Windows,","LGPL"
"IlesfayFS","Ilesfay Technology Group","2011","Microsoft Windows, planned Red Hat Enterprise Linux",""
"VMFS5","VMware","2011","VMware ESXi 5.0tux 3 stats",""
"ReFS","Microsoft","2012, 2013","Windows 2012 Server","proprietary"
"Lanyard Filesystem","Dan Luedtke","2012","Linux",""
