"File system","DOS","Windows 9x","Windows NT","Linux","Mac OS","Mac OS X","FreeBSD","BeOS","Solaris","AIX","z/OS","OS/2","Windows CE","Windows Mobile","VxWorks","HP-UX","Plan 9"
"BFS","No","Partial - read-only with third-party driver","Partial - read-only with third-party driver","Partial - read-only","No","Unknown","No","Yes","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"Btrfs","No","No","No","Yes: unstable from kernel 2.6.29 to 3.9; stable since 3.10","No","No","No","No","No","No","No","No","No","No","Unknown","Unknown","No"
"DECtape","No","Unknown","Unknown","with AncientFS","No","with AncientFS","with AncientFS","Unknown","Unknown","Unknown","Unknown","Unknown","No","No","Unknown","Unknown","No"
"exFAT","No","Partial read-only with third party driver","Yes : Win7, Vista SP1, can be added to XP SP2, SP3","with third party driver","No","Partial 10.6.5+, limited to 1024 byte clusters","No","No","Yes","No","No","No","Yes","No","Unknown","Unknown","Unknown"
"ext2","Unknown","Unknown","with Ext2Fsd (complete) or Ext2 IFS (partial, no large inodes) or Ext2Read (read-only, also on LVM2)","Yes since kernel 0.99","No","with ExtFS, fuse-ext2,  and ext2fsx","Yes","read-only","Unknown","Unknown","Unknown","third-party app","with 3rd-party app","with 3rd-party app","Unknown","Unknown","Yes"
"ext3","Unknown","Unknown","with Ext2Fsd (complete) or Ext2 IFS (partial, no large inodes) or Ext2Read (read-only, also on LVM2)","Yes since kernel 2.4.15","No","with ExtFS and fuse-ext2","Partial read-only","Unknown","Yes","Unknown","Unknown","Unknown","with 3rd-party app","with 3rd-party app","Unknown","Unknown","No"
"ext3cow","Unknown","Unknown","Unknown","Yes Kernel 2.6.20","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","No"
"ext4","No","No","Partial with Ext2Fsd (partial, extents limited) or Ext2Read (read-only, also on LVM2)","Yes since kernel 2.6.28","No","with ExtFS (full read/write),  fuse-ext2 (partial), and  ext4fuse (read-only)","Partial support in kernel since version 10.1 (read-only) or with ext4fuse (read-only)","Unknown","Unknown","Unknown","Unknown","Unknown","No","Unknown","Unknown","Unknown","No"
"FAT12","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Partial on diskettes only, through dos* commands","Unknown","Yes","Yes","Unknown","Yes","Unknown","Yes"
"FAT16","Yes since DOS 3.0, FAT16B since DOS 3.31","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial on diskettes only, through dos* commands","Unknown","Yes","Yes","Yes","Yes","Unknown","Yes"
"FAT32","Yes since DOS 7.1","Yes since Windows 95 OSR2","Yes since Windows 2000","Yes","Yes","Yes","Yes","Yes","Yes","Partial on diskettes only, through dos* commands","Unknown","with third-party app","Yes","Yes","Yes","Unknown","Yes"
"FFS","No","Unknown","Unknown","Yes","No","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown"
