"Software","CRC32","MD5","SHA-1","SHA-224","SHA-256","SHA-384","SHA-512","Panama","RIPEMD-128","RIPEMD-160","RIPEMD-256","RIPEMD-320","Tiger","Whirlpool","Other"
"AccuHash","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"BeaverSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"CDCheck","Yes","Yes","Yes(?)","Yes(?)","Yes(?)","Yes(?)","?","?","?","?","?","?","?","?","MD2"
"cfv","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","Torrent file"
"Checksum Compare","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"CHK","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","Adler-32, CRC64, ED2K, MD4, SHA1-Base32, SHA-512/256"
"cksum","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Cobynsoft's Hash Calculator","No","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","?"
"Data Digester","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","MD2, MD4, PGP"
"DeepDigest","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","No"
"DySFV","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","?"
"eXpress CheckSum Calculator","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"ExactFile","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Adler-32, GOST, MD2"
"FastSum","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"FCIV","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"Febooti Hash & CRC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","MD2, MD4"
"FileVerifier++","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","?"
"FlashSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"FSUM","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","Adler-32"
"FSUM Frontend","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Total 96 algorithms"
"Get-FileHash","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","MACTripleDES"
"HashCalc","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","MD2, MD4, Adler-32"
"HashCheck","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","MD4"
"ilSFV","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"IntactFile","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","?"
"Jacksum","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Total 58 algorithms"
"jdigest","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"jHashCalc","No","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","MD4"
"MD5 File Hasher","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"MD5 & SHA Checksum Utility","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","?"
"md5deep","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","Yes","?"
"md5sum","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"MD5summer","No","Yes","No","No","No","No","No","No","?","No","?","?","No","No","?"
"MD5 Win Verifier","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","?"
"QuickSFV","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"RapidCRC","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
"RekSFV","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","Yes","?"
"RHash","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","Yes","MD4 and more"
"SafeFileManager","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"SFV Checker","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"sha1sum","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","?"
"SuperSFV","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"TeraCopy","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Toolsley Hash & Validate","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","No","No","?"
"WinHasher","No","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","?"
"wxChecksums","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","?"
