"Software","Compare multiple files","Hash single file","Hash several files","Hash directories & sub-directories","Binary output","Bubble Babble output","Base64 output","Hexadecimal output"
"AccuHash","?","?","?","?","?","?","?","?"
"BeaverSFV","?","?","?","?","?","?","?","?"
"CDCheck","Yes","Yes","?","Yes","?","?","?","Yes"
"cfv","?","?","?","?","?","?","?","?"
"Checksum Compare","Yes","Yes","Yes","Yes","No","No","No","Yes"
"CHK","Yes","Yes","Yes","Yes","No","No","No","Yes"
"cksum","?","Yes","Yes","No","No","No","No","No"
"Cobynsoft's Hash Calculator","?","?","?","?","?","?","?","?"
"Data Digester","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"DeepDigest","Yes","Yes","Yes","Yes","No","No","No","Yes"
"DySFV","Yes","Yes","?","Yes","No","No","No","No"
"ExactFile","Yes","Yes","Yes","Yes","No","No","No","No"
"eXpress CheckSum Calculator","?","?","?","?","?","?","?","?"
"FastSum","Yes","Yes","Yes","Yes","No","No","No","Yes"
"FCIV","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Febooti Hash & CRC","?","Yes","Yes","?","?","?","No","Yes"
"FileVerifier++","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"FlashSFV","?","?","?","?","?","?","?","?"
"FSUM","?","?","?","?","?","?","?","?"
"FSUM Frontend","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Get-FileHash","?","Yes","?","?","?","?","?","Yes"
"Hashcalc","?","?","?","?","?","?","?","?"
"HashCheck","?","?","?","?","?","?","?","?"
"ilSFV","Yes","Yes","?","Yes","No","No","No","No"
"IntactFile","Yes","Yes","Yes","Yes","No","No","No","No"
"Jacksum","?","?","?","?","?","?","?","?"
"jdigest","?","?","?","?","?","?","?","?"
"jHashCalc","?","?","?","?","?","?","?","?"
"MD5 File Hasher","Yes","Yes","Yes","Yes","No","No","No","Yes"
"MD5 & SHA Checksum Utility","No","Yes","Yes","Yes","No","No","No","No"
"md5deep","Yes","Yes","?","Yes","No","No","No","Yes"
"md5sum","Yes","Yes","Yes","No","No","No","No","Yes"
"MD5summer","Yes","Yes","?","Yes","?","?","?","Yes"
"MD5 Win Verifier","Yes","Yes","No","No","No","No","No","?"
"QuickSFV","?","?","?","?","?","?","?","?"
"RapidCRC","Yes","Yes","?","Yes","No","No","No","Yes"
"RekSFV","Yes","Yes","Yes","Yes","No","No","No","Yes"
"RHash","?","Yes","Yes","No","No","No","No","No"
"SafeFileManager","Yes","Yes","Yes","Yes","?","?","?","?"
"SFV Checker","?","?","?","?","?","?","?","?"
"sha1sum","Yes","Yes","Yes","No","No","No","No","Yes"
"SuperSFV","?","?","?","?","?","?","?","?"
"TeraCopy","?","?","?","?","?","?","?","?"
"Toolsley Hash & Validate","?","Yes","?","No","No","No","No","Yes"
"WinHasher","Yes","Yes","?","No","No","Yes","Yes","Yes"
"wxChecksums","Yes","Yes","?","Yes","No","No","No","Yes"
