"Name","Individual view","Family view","Pedigree view","Chronology view","Ancestor charts","Ancestor narrative reports","Ancestor pedigree reports","Descendant charts","Descendant narrative reports","Fan charts","Research Manager","DNA charts","Research Guidance","Mapping"
"Agelong Tree","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No"
"Ahnenblatt","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"Aldfaer","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","?"
"Ancestral Quest","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Ancestris","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Brother's Keeper","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","?"
"Family Historian","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Family Tree Builder","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Family Tree Maker (Windows)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes"
"Family Tree Maker for Mac","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes"
"GEDitCOM II","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"Genbox Family History","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"GenealogyJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Généatique","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"GenoPro","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","?","?","No","Yes"
"Gramps","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Heredis","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Heredis Mac","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Heredis PC","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Legacy Family Tree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"LifeLines","Yes","Yes","Yes","?","?","?","?","?","?","?","?","?","No","?"
"MacFamilyTree","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes"
"MyBlood","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","?","No","No","No","Yes"
"ohmiGene","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Personal Ancestral File","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","?","No","?"
"Reunion","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"RootsMagic","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"rootsTrust","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes"
"SmartGenealogy","Yes","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?","?","?","No","?"
"My Family Tree","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes"
"The Master Genealogist","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","No","?"
