"Products","","Maximum file size","Partial file loading","Disk sector editing","Bit editing","Text editor","Insert / Delete bytes","Character encodings","Search Unicode","File structure view","Disassembler","File Compare","Find in Files","Bookmarks"
"P1","010 Editor","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","Unicode, ANSI, OEM, EBCDIC, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"P2","0xED","unlimited","Yes","","","Yes","Yes","ASCII, UTF-8/UTF-16 encoded Unicode, ISO-Latin-1, Macintosh","","No","No","No","",""
"P3","1Fh","2Gb","No","No","No","No","No","OEM, custom","No","No","No","No","No","No"
"P4","HxD","unlimited","Yes","Yes (Windows 9x/NT and up)","No","No","Yes","ANSI, ASCII, OEM, EBCDIC, Macintosh","Yes","No","No","Yes","Yes","Yes"
"P5","AptEdit","unlimited","Yes","No","No","Yes","Yes","ANSI, OEM, EBCDIC","Yes","No","No","Yes","Yes",""
"P6","AXE","2 GB","Yes","Partial (only Windows NT and up)","","","","Unicode, ANSI, EBCDIC","Yes","Yes","No","","",""
"P7","AviHex","unlimited","No","","Yes","","Yes","","Yes","","Yes (32/64-bits, MMX and SSE commands)","Yes","Yes","Yes"
"P8","Be.HexEditor","unlimited","Yes","No","No","Yes","Yes","Unicode, EBCDIC","Yes","No","No","No","Yes","No"
"P9","Beav","unlimited","Yes","Partial
nix only","No","No","Yes","ASCII","No","No","No","No","Yes
replace","Yes"
"P10","beye","8'192 TB","Yes","No","Yes","No","Yes","ANSI, EBCDIC, ASCII, Macintosh","Yes","","Yes (AVR, Java, x86, i386, x86-64, ARM/XScale, PowerPC, PPC64)","","","Yes"
"P11","Binary Viewer Free","unlimited","No","No","No","No","No","ASCII","No","","No","","",""
"P12","Binary Viewer Pro","unlimited","No","No","No","No","No","ASCII","Yes","","No","","",""
"P13","Bless","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII","No","No","No","No","Yes",""
"P14","bvi","unlimited","Yes","","Yes","Yes","Yes","ANSI, ASCII","","No","No","","",""
"P15","Catch22 HexEdit","4 GB","Yes","No","No","No","Yes","ANSI","Yes","Yes","No","No","No","No"
"P16","CI Hex Viewer","Unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"P17","Cygnus Hex Editor","2 GB","No","No","No","No","Yes","","Yes","Yes","No","Yes","No",""
"P18","Cygnus Hex Editor FREE EDITION","2 GB","No","No","No","No","Yes","","","","","","","No"
"P19","DataWorkshop","2 GB","","","","","","","","Yes","Yes","","",""
"P20","dhex","2^63","Yes","No","No","Yes","No","ASCII","No","No","No","Yes","Yes","Yes"
"P21","Febooti Hex Editor","2 GB","No","No","Yes","Yes","Yes","ANSI","Yes","","","","","Yes"
"P22","FlexHex","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI/MBCS, Unicode","Yes","Yes","No","Yes","No","Yes"
"P23","Frhed","limited by free RAM","Yes","No","Yes","No","Yes","ANSI, OEM","Yes","Yes","No","Yes","No","Yes"
"P24","GHex","4 GB","No","No","No","Yes","Partial (no copy/paste)","ASCII","No","No","No","","Yes (replace)",""
"P25","Hackman Hex Editor Professional","unlimited","Yes","Yes","Yes","Partial (external: notepad)","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh, custom","Yes","Yes","Yes (AVR, Java, x86, Pentium III, Pentium 4-Prescott, Athlon-K7, Athlon 64, Cyrix-M2)","Yes","Yes","Yes"
"P26","HEdit","> 2 GB","Yes","No","No","No","Yes","ANSI, EBCDIC","No","","","","",""
"P27","heme","2 GB","","No","No","Yes","No","ANSI","No","No","No","","",""
"P28","Heraia","4 GB","No","No","No","Yes","Yes","ASCII","No","No","No","No","Yes","No"
"P29","Hexditor.jar","2^63","Yes","","No (but view help)","","Yes","ISO/IEC 8859-1, ASCII, OEM","Yes, case insensitive","","","","No","Yes"
"P30","Hex Edit","unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC","Yes","Yes","No","Yes","No","Yes"
"P31","Hex Edit Pro","unlimited","Yes","Yes","Yes","Yes","Yes","ANSI, OEM, EBCDIC, Code Pages (MBCS, Mac, UTF-8, etc.)","Yes","Yes","No","Yes","No","Yes"
"P32","hexed","2GB+","No","No","No","No","Yes","","No","No","No","No","No","No"
"P33","HexEdit by Lane Roathe","","","","","Yes","Yes","","","","Yes (PowerPC)","Yes","",""
"P34","hexedit by Pascal Rigaux","unlimited","Yes","Yes","No","No","No","ASCII","No","No","No","No","No","No"
"P35","HexEdit.js","unlimited","Yes","No","Yes","Yes","Yes","Unicode (UTF-8/UTF-16), ASCII, ANSI, IBM866, ISO-8859-1 to ISO-8859-16 (incl. Cyrillic, Arabic, Greek, Hebrew), KOI8, Macintosh, x-user-defined and many others.","Yes","No","No","No","No","Yes"
"P36","Hex Fiend","unlimited","No","No","No","No","Yes","ANSI","No","No","No","No","No","Yes"
"P37","Hexinator","unlimited","Yes","No","No","No","Yes","Unicode, ANSI, ASCII, OEM, EBCDIC, Macintosh and all ICU encodings","Yes","Yes","No","No","Yes","Yes"
"P38","HexIt","limited by free RAM","No","No","No","Partial (viewer)","Yes","","No","","Yes (x86, Pentium II-Deschutes, x87, MMX, 3DNow!, also assembler)","Yes","Yes","Yes"
"P39","Hexplorer","limited by free RAM","No","Partial (only Windows NT and up)","No","No","","ANSI, OEM","No","Yes","","","","No"
"P40","Hexprobe Hex Editor","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI, OEM","No","Yes","No","Yes","Yes",""
"P41","Hex Workshop","","Yes","Yes","Yes","Partial (external: notepad)","Yes","ANSI, OEM, EBCDIC, Macintosh","Yes","Yes","No","Yes","Yes","Yes"
"P42","HHD Software Free Hex Editor Neo","unlimited","Yes","No","No","No","Yes","ANSI","Yes","No","No","No","No","No"
"P43","HHD Software Hex Editor Neo","unlimited","Yes","Partial (only Windows NT and up)","Yes","Yes","Yes","ANSI, Unicode, ASCII, OEM, ISO, EBCDIC, MAC, UTF-7(Export)/UTF-8, KOI8, ISCII, EUC, Arabic","Yes","Yes","Yes (x86, x86-64, MMX, SSE, SSE2, 3DNow!, MSIL)","Yes","Yes (Replace)","Yes"
"P44","Hiew","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII,OEM, Unicode,Custom","Yes","Yes","Yes (x86, x86-64, MMX, SSE 4.2, 3DNow! - all assembler, ARM)","","Yes","Yes"
"P45","HT Editor","> 200GB","","No","No","Yes","No","","No","No","Yes (x86, ARM, PowerPC)","","",""
"P46","i.Hex","unlimited","Yes","No","Yes","No","","ASCII","No","Yes","No","","",""
"P47","iBored","unlimited","Yes","Yes","No","No","Yes (block level only)","ANSI","Yes","Yes","No","No","Yes","No"
"P48","javahexeditor","unlimited","Yes","No","No","Yes","Yes","ASCII, ANSI","Yes","No","No","No","Yes","No"
"P49","KHexEdit","limited by free RAM","","","","","","ANSI, ASCII, EBCDIC.","","No","","","",""
"P50","MadEdit","32 GB","Yes","No","Yes","Yes","Yes","ANSI, OEM, ASCII, Macintosh, Shift JIS, GBK, EUC, Big5, Unicode","Yes","No","No","No","Yes (Replace)",""
"P51","Notepad++","Not unlimited","","","","Yes","","","","","","Yes","Yes",""
"P52","shed","2 GB","Yes","No","Yes","No","No","ASCII","No","No","No","","",""
"P53","Okteta","limited by free RAM","No","No","Yes","Yes","Yes","ANSI, ASCII, EBCDIC, many others","No","Yes","No","No","No","Yes"
"P54","Synalyze It!","unlimited","Yes","No","Yes","Yes","Yes","ASCII, EBCDIC, Unicode, all ICU encodings","Yes","Yes","No","No","Yes","No"
"P55","tiny hexer","2 GB","No","Partial (only Windows NT and up)","Yes","No","Yes","ANSI, OEM, EBCDIC, ASCII, Macintosh, custom","Yes","Yes","No","Partial (same size)","No",""
"P56","TurboHex","unlimited","No","Yes","Yes","Yes","No","ANSI, ASCII","No","No","No","No","No","No"
"P57","VEDIT","2 GB (standard), unlimited (Pro 64)","Yes","Partial (DOS version only)","Yes","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, custom","","No","No","Yes","Yes","Yes"
"P58","UltraEdit",">4 GB","Yes","","","Yes","Yes","ANSI, OEM, EBCDIC, ASCII, Mac, Unix, UTF-8","Yes","Yes","No","Yes","Yes","Yes"
"P59","webhex.net","2 MB","No","No","No","No","No","ASCII","Yes","No","No","No","Yes","No"
"P60","WinHex","unlimited","Yes","Yes","Yes","Partial (external: notepad)","Yes","Partial support of these formats: ANSI, UNICODE, OEM, UTF-8/UTF-16 EBCDIC, ASCII","Yes","Yes","Partial (Only x86 Intel opcodes)","Yes","Yes (Replace)",""
"P61","wxHexEditor","unlimited","Yes","Yes","Yes","Yes","Yes","ASCII, ANSI, Unicode, OEM, ISO, MAC, UTF-8/UTF-16/UTF-32, EBCDIC, KOI8, Arabic, Hebrew, Shift JIS, GBK, EUC, Big5 and many others.","Yes","No","Yes (x86, x86-64, 3DNow!, MMX, SSE, SSE2, SSE3, AMD-V, Intel VT-x)","Yes","Yes (Replace)","Yes"
"P62","XVI32","2 GB","No","No","Yes","No","Yes","ANSI","Yes","No","No","","Yes","Yes"
"P63","","Maximum file size","Partial file loading","Disk sector editing","Bit editing","Text editor","Insert / Delete bytes","Character encodings","Search Unicode","File structure view","Disassembler","File Compare","Find in Files","Bookmarks"
"P64","","","","","","","","","","","","","",""
