"Manager","Creator(s)","First public release date","Latest stable version","Downloadable without paying?","Software license","Windows","Mac OS X","Linux"
"Amarok","Mark Kretschmann","2003-06-23","2.8 (August 16, 2013; 21 months ago)","Yes","GPL","Yes","Experimental (leopard)","Yes"
"Banshee","Aaron Bockover","2005-08","2.6.2 (February 18, 2014; 15 months ago)","Yes","MIT","Experimental","Experimental","Yes"
"Clementine","David Sansome, John Maguire","February 2010","1.2.3 (March 8, 2014; 14 months ago)","Yes","GPL v3","Yes","Yes","Yes"
"gtkpod","Jorg Schuler","?","2.1.3 (Jan 6, 2013)","Yes","GPL","No","No","Yes"
"iRip","The Little App Factory","2003-09","2.1 (Mac) (May 6, 2011; 4 years ago) 

1.0.1.25 (Windows) (8 April 2010; 5 years ago)","No","Proprietary","Yes","Yes","No"
"iTunes","Apple Inc.","2001-01-08","12.1.2.27 (April 9, 2015; 2 months ago)","Yes","Proprietary","Yes","Yes","No"
"JRiver Media Center","J. River","2003-07","19.0.124 (March 27, 2014; 14 months ago)","Yes (trial)","Proprietary","Yes","No","No"
"MediaMonkey","Ventis Media Inc.","2003-08-25","4.1.5.1719 (October 22, 2014; 7 months ago)","Yes (Standard)","Proprietary","Yes","No","No"
"Rhythmbox","Colin Walters","2004-04","3.2 (March 29, 2015; 2 months ago)","Yes","GPL","No","No","Yes"
"Senuti","FadingRed","2006-04-26","1.1.7 (Oct 6, 2009)","Yes (limited trial)","Proprietary","No","Yes","No"
"MediaChest","D Rogatkin","1999-10-10","2.1.204 (Jun 12, 2013)","Yes","BSD","Yes","Yes","Yes"
"Winamp native","Nullsoft","1997-06","5.666.3516 (December 12, 2013; 17 months ago)","Yes (Bundle & Full)","Proprietary","Yes","No","No"
"XPlay","Mediafour","2002-06-24","3.5.0 (Dec 30, 2009)","No","Proprietary","Yes","No","No"
"Manager","Creator(s)","First public release date","Latest stable version","Downloadable without paying?","Software license","Windows","Mac OS X","Linux"
