"Name","Windows","Mac OS","Linux","Last release"
"ACDSee","Yes","Yes","No","2014"
"Adobe Bridge","Yes","Yes","No","2013.06.31"
"Adobe Photoshop Lightroom","Yes","Yes","No","2015.04.30"
"Aperture","No","Yes","No","2014.10.16"
"CDisplay","Yes","No","No","2004"
"Comix","No","No","Yes","2009"
"digiKam","Partial","Yes","Yes","2015.02.24"
"Eye of GNOME","No","No","Yes","2015.03.25"
"FastPictureViewer","Yes","No","No","2015.02.28"
"FastStone Image Viewer","Yes","No","No","2014.10.25"
"Firehand Ember","Yes","No","No",""
"F-Spot","No","No","Yes","2010"
"Geeqie","No","Yes","Yes","2012"
"Gonvisor","Yes","Yes","No","2015.01."
"GraphicConverter","No","Yes","No","2015.03.10"
"gThumb","No","No","Yes","2015.04.14"
"Gwenview","No","No","Yes","2014.11.11"
"ImageAXS","Yes","Yes","No","1996."
"IMatch","Yes","No","No","2015.06.02"
"iPhoto","No","Yes","No","2015.03.19"
"IrfanView","Yes","No","No","2014.06.23"
"KSquirrel","No","No","Yes","2007."
"KPhotoAlbum","No","No","Yes","2014.07.15"
"Lphoto","No","No","Yes","2008"
"Phase One Media Pro","Yes","Yes","No","2012.07.17"
"Paint.NET","Yes","No","No","2014.12.07"
"PhotoQt","Yes","No","Yes","2015.01.17"
"Photos","No","Yes","No","2015.04.08"
"Picasa","Yes","Yes","No","2014.08.13"
"Preview","No","Yes","No",""
"Shotwell","No","No","Yes","2015.03.23"
"Simple Comic","No","Yes","No",""
"STDU Viewer","Yes","No","No","2014.04.21"
"Viewnior","No","No","Yes","2015.05.01"
"Windows Live Photo Gallery","Yes","No","No","2014.01.10"
"Windows Photo Gallery","Yes","No","No","2014.01.10"
"Windows Photo Viewer","Yes","No","No",""
"XnView","Yes","Yes","Yes","2015.03.16"
"Xv","No","No","Yes","1994"
"Zoner Photo Studio","Yes","No","No","2014.09.26"
