"Program","Fullscreen","slideshow","zoom
(styles)","cache decoded images","thumbnails (sizes)","thumbnail caching","navigation views","print","sort
(schemes)"
"ACDSee","Yes","Yes","Yes
 1:1, fit width and/or height, lock","Yes
 previous, next","Yes
 user-defined","Yes
 database","directory-tree, albums, calendar, favourites, search results","Yes","Yes
 user-defined, name, date, size, type, ..."
"CDisplay","Yes","Yes","Yes
 1:1, fit over/under width/height, fullscreen, doublepage","","Yes
Fixed, with scroll","","Thumbnails(of current folder images or archive)","No","No"
"Comix","Yes","Yes","Yes
 1:1, fit over/under width/height, fullscreen, doublepage","","Yes
Fixed, with scroll","","Thumbnails(of current folder images or archive)","No","No"
"digiKam","Yes","Yes","Yes
 fit, in/out","Yes
 previous, next","Yes
 adjustable size","Yes","Yes album-tree, tags, calendar, searches, map (geolocation)","Yes","Yes 
tags, date, keywords, metadata"
"Eye of gnome","Yes","Yes","Yes
 +/-, 1:1, best fit","","image collection pane, only one row","","Thumbnails(of current folder images)","Yes","No"
"F-Spot","Yes","Yes","Yes","","Yes","","list, file-tree","","Yes
 keywords"
"FastPictureViewer","Yes","Yes
Auto-advance mode","Yes
 1:1, fit, 50%-6400% magnifier, click-and-hold zooming","Yes
dynamic, adaptive","Yes
96x96px, shown on navigation slider (Vista or later)","Yes
(uses OS-managed cache on Windows Vista or later)","Yes
Windowed or full-screen, back and forth navigation, bookmarks, navigation slider","No","Yes Filenames, file creation/modification date, Exif date taken, GPS timestamp"
"FastStone Image Viewer","Yes","Yes","Yes
 1:1, fit width and/or height, lock","No","Yes
 5 predefined sizes","Yes
 database","dir-tree","Yes","Yes
 user-defined, name, date, file size, image size, type"
"Geeqie","Yes","Yes","Yes
 fit, 1:1, in/out","Yes
 previous, next","Yes
 24x24 - 256x256","Yes
 as png-files centrally or in sub-dir","list, dir-tree, collection","Yes","Yes
 collections, keywords, directory"
"gThumb","Yes","Yes
 random, forward, reverse","Yes
 fit, 1:1, remember, fit-if-larger, in/out","","Yes
 48x48 - 256x256, 9 sizes","Partial Newer versions cache in a central directory","list, icon, subfolders, categories","Yes","Yes
 catalogs, categories"
"Gwenview","Yes","Yes","Yes
 fit, 1:1, fit-if-larger, zoom to 1600%","","Yes
 adjustable size","Yes","Yes
 fullscreen thumbnails, dir-tree","Yes","Yes
 name, size, date"
"ImageAXS","Yes","Yes","Yes","","Yes","","Yes","Yes","Yes"
"IrfanView","Yes","Yes","Yes
 1:1, fit width and/or height, lock","No","Yes
 18 predefined sizes: 50×50–800×800","No","dir-tree, search results","Yes","Yes
 name, date, file size, image width/height, type, user-defined"
"KPhotoAlbum","Yes","Yes","Yes
 fit, in/out, presets","","Yes","","views search results","","by date"
"Phase One Media Pro","Yes","Yes","Yes
Fit to viewing area/height/width, 1:1, zoom to 1600%","Yes","Yes
 Yes, user-defined","Yes
Database","Yes Catalog-sets, date, filetypes, events, author, people, by search, by keywords and all metadata","Yes","Yes
 name, date, size, user-defined"
"Photos","","","","","","","","",""
"Picasa","Partial
 only in slideshow mode","Yes","Partial
 no view window, fit to viewing area, 1:1, zoom to 400%","No","Yes
 user defined","Yes
database","directory-tree, albums, timeline","Yes","Partial
 name, date, size, user-defined"
"ResourceSpace","Yes","Yes","Yes","Yes","Yes
user defined","Yes
database","thumbs, list, events, tags","Yes
contact sheet","Yes
date, relevance, colour"
"Shotwell","Yes","Yes","Yes","No","Yes
 fixed size","Yes","Thumbs, Events (dates), tags","Yes","Yes
 Title, Exposure Date"
"Simple Comic","Yes","Yes","Yes
Magnifying loupe on cursor","","Yes","","Yes
fullscreen thumbnails, thumbnails when hovering over progress bar, single page, double page","No","Only by ascending file name."
"STDU Viewer","Yes","No","Yes
fit to width, fit to height, fit to size","No","Yes","No","No","Yes","No"
"Windows Picture and Fax Viewer","Yes","Yes","Yes
 1:1, fit, in/out","Yes","No","No","No","Yes","No"
"XnView","Yes","Yes","Yes
 1:1, fit width and/or height, lock","Yes
 previous, next","Yes
 user-defined","Yes
database","dir-tree, favourites, categories","Yes","Partial
 name, date, size, type, etc.; no user-defined order"
"xv","No","Yes","","No","Yes
 fixed size","Yes
 in subdirectory (.xvpics)","","Yes","Partial
 name"
"Zoner Photo Studio","Yes","Yes","Yes
 1:1, fit width and/or height, lock","Yes
 in Viewer, previous and next","Yes
 user-defined","Yes
database","dir-tree, albums, CD compilations, media archive, search results, web albums","Yes 
 contact sheet, templates, calendars, paper saver","Yes
 name, date, size, type, etc.; user-defined order"
"Program","Fullscreen","slideshow","zoom (styles)","cache decoded images","thumbnails (sizes)","thumbnail caching","navigation views","print","sort (schemes)"
